Cliente	CNPJ	Razão Social	Estado	Status	Licença da polícia Federal	Alvará da polícia civil	Certificado de vistoria da polícia civil 	Licença de transporte	Licença Exército	PRAZO BLOQUEIO
0000440	22.143.069/0001-07	ACIFLEX DO BRASIL LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031829	03.687.143/0010-00	ACTEGA DO BRASIL TINTAS E VERNIZES LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031830	03.687.143/0004-54	ACTEGA DO BRASIL TINTAS E VERNIZES LTDA.	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031875	04.484.640/0001-75	ADEX - INDUSTRIA E COMERCIO DE TINTAS E VERNIZES L	PR	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031942	08.710.639/0001-72	ADI CENTER BRASIL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031800	07.872.967/0001-02	AEROFLEX INDUSTRIA DE AEROSOL LTDA	PR	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031862	61.567.996/0002-97	AGASSETE COMERCIO E INDUSTRIA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0000337	82.110.818/0003-93	ALFA TRANSPORTES EIRELI	SP	BLOQUEADO	Aguardando		Aguardando	Aguardando	aguardando	Ok
0031440	17.776.903/0001-61	ALLQUIN PRODUTOS QUIMICOS LTDA	SP	ATIVO	29/06/2024	31/12/2024	13/04/2026	Não se aplica	Não se aplica	Ok
0030460	05.097.254/0001-93	ALV INDUSTRIA E COMERCIO DE TINTAS LTDA	PR	ATIVO	24/02/2025	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032185	05.638.569/0001-09	ALVES & ANDRADE TRANSPORTES LTDA	SC	ATIVO	23/07/2024	Aguardando	31/12/2023	29/02/2024	Não se aplica	Ok
0032124	02.921.346/0006-62	ANJO QUIMICA DO BRASIL LTDA	SC	ATIVO	10/10/2024	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0031471	09.480.033/0002-31	ARARAS QUIMICA DO BRASIL EIRELI	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0032041	08.059.417/0001-31	ARES QUIMICA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032106	55.586.473/0001-04	AROMAX INDUSTRIA E COMERCIO LTDA	SP	ATIVO	16/03/2025	30/05/2024	31/12/2025	28/02/2024	Não se aplica	Ok
0032036	44.699.346/0001-03	ARTECOLA QUIMICA S. A.	RS	ATIVO	12/06/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032203	03.521.096/0003-93	ATS COLOR DO BRASIL LTDA	SP	ATIVO	12/06/2024	29/02/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0031421	13.816.737/0001-29	AVANZI QUIMICA LTDA	SP	ATIVO	18/04/2024	29/02/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0032193	15.373.395/0001-45	AXALTA COATING SYSTEMS BRASIL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032068	48.539.407/0073-92	BASF SA	SP	ATIVO	12/06/2024	29/02/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0032190	87.315.099/0001-07	BEBIDAS FRUKI SA	RS	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032037	55.256.424/0001-03	BEIRA ALTA COSMETICOS LTDA	SP	ATIVO	12/06/2024	31/12/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031755	17.144.480/0001-67	BELLA ALIANCA INDUSTRIA DE TINTAS E VERNIZES LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032181	17.245.838/0001-48	BEMA TINTAS LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	14/07/2023
0030860	08.608.213/0001-02	BR RESINAS E INDUSTRIA QUIMICA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0030379	61.105.060/0001-63	BRASCOLA LTDA	SC	ATIVO	25/01/2025	31/12/2024	Não se aplica	Não se aplica	Não se aplica	Ok
0030121	58.809.203/0001-03	BRAZILIAN COLOR INDUSTRIA DE TINTAS E VERNIZES LTD	SP	BLOQUEADO	17/06/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031825	07.094.233/0001-40	BRYLCOR-SANTANA INDUSTRIA E COMERCIO DE TINTAS	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0032226	07.920.916/0005-32	BSC QUIMICA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0032208	54.361.175/0001-53	BUTILAMIL INDUSTRIAS REUNIDAS SA	SP	BLOQUEADO	Aguardando	29/02/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0032035	10.463.212/0001-69	C.M.N. INDUSTRIA E COMERCIO DE TINTAS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031993	06.179.561/0001-86	C.P.N. COMERCIO E INDUSTRIA LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032052	02.744.462/0001-49	CAMALLON - COMERCIO DE PRODUTOS GRAFICOS LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031391	05.437.703/0001-03	CAMARGO COMPANHIA DE EMBALAGENS LTDA	SP	ATIVO	17/08/2024	28/02/2025	31/12/2026	Não se aplica	Não se aplica	Ok
0031594	68.958.487/0001-53	CANOPUS INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS	SP	ATIVO	12/06/2024	29/02/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0031765	17.872.170/0001-69	CARBON & CHEMICALS COMERCIO DE PRODUTOS QUIMICOS	SP	ATIVO	05/09/2024	30/05/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0032245	43.390.333/0001-87	CAREN QUIMICA PRODUTOS E DERIVADOS LTDA	SP	ATIVO	06/06/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0000136	01.760.325/0001-35	CARTINT IND E COM LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032177	13.517.178/0001-56	CASA DO AROMA ESSEN P ALIMENTOS E BEBIDAS LTDA	SP	ATIVO	31/08/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031869	00.777.674/0001-05	CD-MAX INDUSTRIA E COMERCIO DE TINTAS LTDA	MT	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031578	50.201.599/0001-08	CELOCORTE EMBALAGENS LTDA	SP	ATIVO	20/06/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031999	07.490.586/0001-69	CENTERPLAST INDUSTRIA E COMERCIO DE TINTAS LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032113	39.415.197/0001-65	CENTRAL INDUSTRIA E COMERCIO LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031944	49.363.187/0001-87	CETUS INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS EI	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0000307	04.580.790/0001-82	CHAPECO LOGISTICA E CARGAS LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	14/07/2023
0031910	01.026.917/0001-28	CHEMICAL BRASILEIRA MODERNA LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032073	13.530.388/0001-84	CHEMICALS UNIVERSAL INDUSTRIAL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031764	18.933.677/0002-29	CITOL INDUSTRIA DE TRATAMENTO DE OLEO EIRELI	MG	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031033	51.123.339/0001-16	CLOROETIL SOLVENTES ACETICOS SA	SP	ATIVO	04/12/2024	29/02/2024	31/12/2023	Não se aplica	Não se aplica	Ok
0031919	28.575.533/0001-10	CMS DISTRIBUIDORA, IMPORTADORA E EXPORTADORA - EIR	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031990	01.892.570/0001-04	COEXPAN EMSUR BRASIL EMBALAGENS LTDA	SP	ATIVO	20/12/2024	31/12/2024	31/12/2026	Não se aplica	Não se aplica	Ok
0032053	65.426.538/0001-08	COIM BRASIL LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0031789	11.151.983/0001-83	COLORART INDUSTRIA E COMERCIO DE TINTAS IMP EXP	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
0032033	05.504.829/0001-45	COLORCRIL INDUSTRIA DE TINTAS LTDA	MG	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0032043	35.871.128/0001-05	COLORES INDUSTRIA DE TINTAS LTDA	RJ	BLOQUEADO	Aguardando	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031670	61.079.232/0012-24	COMPANHIA BRASILEIRA DE ESTIRENO	BA	BLOQUEADO	Aguardando	29/02/2024	Não se aplica	Não se aplica	06/04/2024	Ok
0031217	61.150.348/0001-50	COMPANHIA NITRO QUIMICA BRASILEIRA	SP	ATIVO	17/04/2024	28/02/2025	31/12/2024	Não se aplica	#REF!	Ok
0031114	52.616.232/0007-68	CONVERPLAST EMBALAGENS LTDA	SP	ATIVO	30/10/2024	30/05/2024	31/12/2025	Não se aplica	Não se aplica	Ok
0031113	52.616.232/0001-72	CONVERPLAST EMBALAGENS LTDA	SP	ATIVO	03/08/2024	31/12/2024	31/12/2024	Não se aplica	Não se aplica	Ok
0000041	72.484.538/0002-00	CORIARTE TINTAS LTDA	SC	BLOQUEADO	Aguardando	Aguardando	Não se aplica	Não se aplica	Não se aplica	Ok
0032229	01.593.165/0001-87	CORIUM QUIMICA LTDA	RS	ATIVO	17/06/2024	Não se aplica	Não se aplica	Não se aplica	Não se aplica	Ok
0031876	73.196.644/0001-70	CROMUS EMBALAGENS INDUSTRIA E COMERCIO LTDA	SP	BLOQUEADO	Aguardando	29/02/2024	Aguardando	Não se aplica	Não se aplica	Ok
