CodigoItem	DescricaoItem	CodNovo_GrupoEstoque	NomeNovo_GrupoEstoque	Cod_GrupoEstoque_Old	NomeGrupoEstoque_Old	CodNovo_SubGrupo	NomeNovo_SubGrupo	Cod_SubGrupo_Old	NomeSubGrupo_Old	CodNovo_FC	NomeNovo_FC	CodFC_Old	NomeFC_Old
02429	02429-LOCACAO VEICULO	07000024	SERVICOS - LOCACAO VEICULOS	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000106	SERVICOS - PJ	00000012	SERVIÇOS	00000008	OUTROS
404	12.13-PRODUÇÃO, MEDIANTE OU SEM ENCOMENDA PRÉVIA, DE EVENTOS, ESPETÁCULOS, ENTREVISTAS, SHOWS, BALLET, DANÇAS, DESFILE	30000029	SERVICOS - CONFRATERNIZ./LAZER	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000106	SERVICOS - PJ	00000012	SERVIÇOS	00000012	SERVIÇOS
408	7.10 - LIMPEZA, MANUTENÇÃO E CONSERVAÇÃO DE VIAS E LOGRADOUROS PÚBLICOS, IMÓVEIS, CHAMINÉS, PISCINAS, PARQUES, JARDINS E	30000001	SERVICOS - LIMPEZA	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000106	SERVICOS - PJ	00000012	SERVIÇOS	00000012	SERVIÇOS
9.02	9.02-AGENCIAMENTO, ORGANIZAÇÃO, PROMOÇÃO, INTERMEDIAÇÃO E EXECUÇÃO DE PROGRAMAS DE TURISMO, PASSEIOS, VIAGENS, EXCURSÕES	30000044	SERVICOS - VIAGENS E ESTADIAS	00000103	SERVICOS - PJ	00000017	SERVICOS - PJ	00000106	SERVICOS - PJ	00000012	SERVIÇOS	00000012	SERVIÇOS
100168	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 250MM LARG 3,6MM ESP 1MM	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000065	ELEM. E DISPOSIT. DE FIXACAO	00000043	ELETRICA	00000059	ABRACADEIRAS	00000059	ABRACADEIRAS
100169	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 250MM LARG 4,8MM ESP 1MM	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000065	ELEM. E DISPOSIT. DE FIXACAO	00000043	ELETRICA	00000059	ABRACADEIRAS	00000059	ABRACADEIRAS
100170	ABRACADEIRA AMARRACAO CABO MAT NYLON COR BR COMP 300MM LARG 3,6MM ESP 1MM	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000065	ELEM. E DISPOSIT. DE FIXACAO	00000043	ELETRICA	00000059	ABRACADEIRAS	00000059	ABRACADEIRAS
10040	ABRACADEIRA P/MANGUEIRA DIAM MANGUEIRA 1,5POL MAT ACO CARBONO	07000009	MATERIAL DE CONSUMO	07000009	MATERIAL USO/CONSUMO	00000065	ELEM. E DISPOSIT. DE FIXACAO	00000065	ELEM. E DISPOSIT. DE FIXACAO	00000059	ABRACADEIRAS	00000059	ABRACADEIRAS
743	ACESSORIO MASCARA/RESPIRADOR ADAPTADOR CENTRAL MASCARA FACIAL INTEIRA 6800 6864 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
747	ACESSORIO MASCARA/RESPIRADOR ANEL BORRACHA 6800 MASCARA FACIAL INTEIRA 6800 6800 3M	7000023	UNIFORME/EPI-EQUIP PROTECAO	07000009	MATERIAL USO/CONSUMO	00000037	HIGIENE, SAUDE E SEGURANCA	106	EPI	108	EQUIPAMENTOS PROTECAO INDIVIDU	108	EQUIPAMENTOS PROTECAO INDIVIDU
