CodigoItem	DescricaoItem	CodNovo_GrupoEstoque	NomeNovo_GrupoEstoque	Cod_GrupoEstoque_Old	NomeGrupoEstoque_Old	CodNovo_SubGrupo	NomeNovo_SubGrupo	Cod_SubGrupo_Old	NomeSubGrupo_Old	CodNovo_FC	NomeNovo_FC	CodFC_Old	NomeFC_Old
003806	DESKTOP HP ATHLON DC5750 64X2 2.1GHZ KH2	20000005	ATIVO IMOB. - EQUIP. INFORMATI	20000005	ATIVO IMOB. - EQUIP. INFORMATI	00000029	PAPELARIA, INFORMATICA, ESCRIT	00000008	ATIVO IMOB. - EQUIP. INFORMATI	00000019	INFORMATICA SUPRIMENTOS, EQUIP	00000019	INFORMATICA SUPRIMENTOS, EQUIP
001176	MICRO-COMPUTADOR DELL INSPIRON 3268	20000005	ATIVO IMOB. - EQUIP. INFORMATI	20000005	ATIVO IMOB. - EQUIP. INFORMATI	00000029	PAPELARIA, INFORMATICA, ESCRIT	00000008	ATIVO IMOB. - EQUIP. INFORMATI	00000019	INFORMATICA SUPRIMENTOS, EQUIP	00000019	INFORMATICA SUPRIMENTOS, EQUIP
003377	MICROCOMPUTADOR PORTATIL DELL INSPIRON	20000005	ATIVO IMOB. - EQUIP. INFORMATI	20000005	ATIVO IMOB. - EQUIP. INFORMATI	00000029	PAPELARIA, INFORMATICA, ESCRIT	00000008	ATIVO IMOB. - EQUIP. INFORMATI	00000019	INFORMATICA SUPRIMENTOS, EQUIP	00000019	INFORMATICA SUPRIMENTOS, EQUIP
003807	MONITOR SAMSUNG 18,5 LED BLACK PIANO S19	07000022	PARTES/PEÇAS EQUIP. INFORMAT.	20000005	ATIVO IMOB. - EQUIP. INFORMATI	00000029	PAPELARIA, INFORMATICA, ESCRIT	00000008	ATIVO IMOB. - EQUIP. INFORMATI	00000019	INFORMATICA SUPRIMENTOS, EQUIP	00000019	INFORMATICA SUPRIMENTOS, EQUIP
003802	EMPILHADEIRA HANGCHA CPQD25-RW7-Y2 NS F4	20000003	ATIVO IMOB. - VEICULOS	20000003	ATIVO IMOB. - VEICULOS	00000042	EQUIP. COMERCIAIS	00000009	ATIVO IMOB. - VEICULOS	00000032	EQUIPAMENTOS COMERCIAIS	1111	MAQUINAS E EQUIPAMENTOS
100071	EMPILHADEIRA HYSTER MODELO H50FT A977Y07169F	20000003	ATIVO IMOB. - VEICULOS	20000003	ATIVO IMOB. - VEICULOS	00000042	EQUIP. COMERCIAIS	00000009	ATIVO IMOB. - VEICULOS	00000032	EQUIPAMENTOS COMERCIAIS	1111	MAQUINAS E EQUIPAMENTOS
100070	EMPILHADEIRA MITSUBISHI MODELO GF25ND	20000003	ATIVO IMOB. - VEICULOS	20000003	ATIVO IMOB. - VEICULOS	00000042	EQUIP. COMERCIAIS	00000009	ATIVO IMOB. - VEICULOS	00000032	EQUIPAMENTOS COMERCIAIS	1111	MAQUINAS E EQUIPAMENTOS
038033	EMPILHADEIRA TOYOTA MODELO 8FGU25 SÉRIE 42709	20000003	ATIVO IMOB. - VEICULOS	20000003	ATIVO IMOB. - VEICULOS	00000042	EQUIP. COMERCIAIS	00000009	ATIVO IMOB. - VEICULOS	00000032	EQUIPAMENTOS COMERCIAIS	1111	MAQUINAS E EQUIPAMENTOS
LOC.EMP	SERVICO DE LOCACAO DE EMPILHADEIRAS	30000007	SERVICOS - MANUT. EMPILHADEIRA	20000003	ATIVO IMOB. - VEICULOS	00000017	SERVICOS - MANUT. EMPILHADEIRA	00000009	ATIVO IMOB. - VEICULOS	1110	SERVICOS	00000009	00000053
10	BUTILGLICOL	00000000	MERCADORIA REVENDA NACIONAL	01000000	MATERIA PRIMA	00000043	QUIMICOS	00000043	QUIMICOS	1112	PROD. QUIMICOS INDUSTRIAIS	1112	PROD. QUIMICOS INDUSTRIAIS
