CodigoItem	DescricaoItem	CodNovo_GrupoEstoque	NomeNovo_GrupoEstoque	Cod_GrupoEstoque_Old	NomeGrupoEstoque_Old	CodNovo_SubGrupo	NomeNovo_SubGrupo	Cod_SubGrupo_Old	NomeSubGrupo_Old	CodNovo_FC	NomeNovo_FC	CodFC_Old	NomeFC_Old
001175	12.13-PRODUÇÃO, MEDIANTE OU SEM ENCOMENDA PRÉVIA, DE EVENTOS, ESPETÁCULOS, ENTREVISTAS, SHOWS, BALLET, DANÇAS, DESFILE	30000041	SERVICOS-PROPAG. E PUBLICIDADE	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	135	SERVICOS	00000000	OUTROS
003973	1354X ?	00000110	SUCATA	00000123	SUCATAS	0		00000123	SUCATAS	0		0304	SUCATA
14.10	14.10-TINTURARIA E LAVANDERIA	30000001	SERVICOS - LIMPEZA	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	135	SERVICOS	00000000	OUTROS
001029	28.01-SERVIÇOS DE AVALIAÇÃO DE BENS E SERVIÇOS DE QUALQUER NATUREZA.	30000003	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	135	SERVICOS	00000000	OUTROS
001191	7.10 - SERVIÇOS DE LIMPEZA, MANUTENÇÃO/CONSERVAÇÃO DE IMÓVEIS, CHAMINÉS, PISCINAS, CONGÊNERES E FOSSAS	30000001	SERVICOS - LIMPEZA	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	135	SERVICOS	00000000	OUTROS
9.02	9.02-AGENCIAMENTO, ORGANIZAÇÃO, PROMOÇÃO, INTERMEDIAÇÃO E EXECUÇÃO DE PROGRAMAS DE TURISMO, PASSEIOS, VIAGENS, EXCURSÕES	30000044	SERVICOS - VIAGENS E ESTADIAS	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	00000010	SERVICOS - PJ	135	SERVICOS	00000000	OUTROS
1013300	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 160MM LARG 4,8MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000097	MATERIAIS ELETRICOS	00000046	ABRACADEIRAS	00000067	MATERIAIS ELETRICOS DIVERSOS
1013301	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 283MM LARG 4,8MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000097	MATERIAIS ELETRICOS	00000046	ABRACADEIRAS	00000067	MATERIAIS ELETRICOS DIVERSOS
100193	ABRACADEIRA AMARRACAO CABO MAT NYLON COR INC COMP 200MM LARG 4,8MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	108	ELETRICA	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
100194	ABRACADEIRA AMARRACAO CABO MAT NYLON COR INC COMP 300MM LARG 4,8MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	108	ELETRICA	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
100940	ABRACADEIRA AMARRACAO CABO MAT NYLON COR INC COMP 400MM LARG 4,8MM COR PRETA PT C/100 UN	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
101015	ABRACADEIRA AMARRACAO CABO MAT NYLON COR PRETO COMP 300MM LARG 4,6MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
1013347	ABRACADEIRA AMARRACAO CABO MAT NYLON COR PT COMP 300MM LARG 7,6MM	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000097	MATERIAIS ELETRICOS	00000046	ABRACADEIRAS	00000067	MATERIAIS ELETRICOS DIVERSOS
101226	ABRACADEIRA COLETOR ESCAPAMENTO COMPONENTE APLICACAO VEICULO MODELO 24.280 TE3253143A VOLKSWAGEN	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000071	COMPONENTES VEICULOS	00000046	ABRACADEIRAS	132	COMPONENTES VEICULOS
100787	ABRACADEIRA P/MANGUEIRA DIAM 14,2MM MAT ACO	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
100781	ABRACADEIRA P/MANGUEIRA DIAM 14,5MM MAT ACO	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
100780	ABRACADEIRA P/MANGUEIRA DIAM 14MM MAT ACO	07000009	MATERIAL DE CONSUMO	00000029	MATERIAL USO/CONSUMO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000057	ELEM. E DISPOSIT. DE FIXACAO	00000046	ABRACADEIRAS	00000046	ABRACADEIRAS
