CodigoItem	DescricaoItem	CodNovo_GrupoEstoque	NomeNovo_GrupoEstoque	Cod_GrupoEstoque_Old	NomeGrupoEstoque_Old	CodNovo_SubGrupo	NomeNovo_SubGrupo	Cod_SubGrupo_Old	NomeSubGrupo_Old	CodNovo_FC	NomeNovo_FC	CodFC_Old	NomeFC_Old
0095699	 BORRA DE PE	04000000	PRODUTO ACABADO	04000000	PRODUTO ACABADO	0		00000233	RESIDUOS	0		00000066	RESIDUOS
02429	02429-LOCACAO VEICULO	07000024	SERVICOS - LOCACAO VEICULOS	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
1.09	1.09-DISPONIBILIZAÇÃO, SEM CESSÃO DEFINITIVA, DE CONTEÚDOS DE ÁUDIO, VÍDEO, IMAGEM E TEXTO POR MEIO DA INTERNET, RESPEIT	30000041	SERVICOS-PROPAG. E PUBLICIDADE	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
12.17	12.17-RECREACAO E ANIMACAO, INCLUSIVE EM FESTAS E EVENTOS DE QUALQUER NATUREZA	30000029	SERVICOS - CONFRATERNIZ./LAZER	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
13.04	13.04 - REPROGRAFIA, MICROFILMAGEM E DIGITALIZAÇÃO	30000003	SERVICOS - PJ	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
17.11	17.11-ORGANIZAÇÃO DE FESTAS E RECEPÇÕES; BUFÊ (EXCETO O FORNECIMENTO DE ALIMENTAÇÃO E BEBIDAS, QUE FICA SUJEITO AO ICMS)	30000029	SERVICOS - CONFRATERNIZ./LAZER	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
17.12	17.12-ADMINISTRAÇÃO EM GERAL, INCLUSIVE DE BENS E NEGÓCIOS DE TERCEIROS	30000003	SERVICOS - PJ	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
17.14	17.14 - ADVOCACIA	30000010	SERVICOS - CONSULTORIA JURIDIC	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
100397531	60C55ND (BB) O	01000000	MATERIA-PRIMA	01000000	MATERIA-PRIMA	0		PP COPO	PP COPO	0		07000009	COPO 60
7.03	7.03-ELABORAÇÃO DE PLANOS DIRETORES, ESTUDOS DE VIABILIDADE, ESTUDOS ORGANIZACIONAIS E OUTROS, RELACIONADOS COM OBRAS E	30000031	SERVICOS - CONSULT/ASSESSORIA	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
7721700	7721-7/00-ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS	30000029	SERVICOS - CONFRATERNIZ./LAZER	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
327	8000UV - POLIETILENO DE ALTA DENSIDADE	01000000	MATERIA-PRIMA	01000000	MATERIA-PRIMA	0		00000184	PE	0		00000025	PEAD
000327	8000UV - POLIETILENO DE ALTA DENSIDADE	01000000	MATERIA-PRIMA	01000000	MATERIA-PRIMA	0		00000184	PE	0		00000025	PEAD
9.02	9.02-AGENCIAMENTO, ORGANIZAÇÃO, PROMOÇÃO, INTERMEDIAÇÃO E EXECUÇÃO DE PROGRAMAS DE TURISMO, PASSEIOS, VIAGENS, EXCURSÕES	30000044	SERVICOS - VIAGENS E ESTADIAS	30000003	SERVICOS - PJ	00000166	SERVICOS - PJ	00000172	SERVICOS - PJ	00000053	SERVICOS	00000053	SERVICOS
10038319	ABAFADOR CANO DESCARGA TIPO FIXO FAIXA DIAM 4POL P/CAMINHAO	07000019	PARTES E PECAS MANUT. VEICULOS	07000000	MATERIAL USO/CONSUMO	0073	MAT P/MOTOS E AUTOMOTIVOS	0073	MAT P/MOTOS E AUTOMOTIVOS	247	ACESSORIOS P/MOTOS/AUTOMOVEIS	247	ACESSORIOS P/MOTOS/AUTOMOVEIS
14000427	ABRAÇADEIRA 1/2" - TIPO "D" C/ CUNHA	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	0022	FIXACAO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000426	ABRAÇADEIRA 1TIPO D COM CUNHA	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000422	ABRAÇADEIRA 2 TIPO D COM PARAFUSO	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000425	ABRAÇADEIRA 3/4 TIPO D	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	0022	FIXACAO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000733	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 250MM LARG 10MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000176	MATERIAIS P/CONSTRUCAO CIVIL	135	ABRACADEIRAS	135	ABRACADEIRAS
200323	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 367MM LARG 7,6MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000176	MATERIAIS P/CONSTRUCAO CIVIL	135	ABRACADEIRAS	135	ABRACADEIRAS
100396785	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 500MM LARG 7,6MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000176	MATERIAIS P/CONSTRUCAO CIVIL	135	ABRACADEIRAS	135	ABRACADEIRAS
14000682	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 530MM LARG 13MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000176	MATERIAIS P/CONSTRUCAO CIVIL	135	ABRACADEIRAS	135	ABRACADEIRAS
10039259	ABRACADEIRA AMARRACAO CABO MAT NYLON COMP 760MM LARG 7,6MM ESP 1,9MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	0016	ELETRICA	135	ABRACADEIRAS	190	MATERIAIS ELETRICOS DIVERSOS
200509	ABRAÇADEIRA DE AÇO INOX ROSCA SEM FIM 09-13	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	0072	ELEM. E DISPOSIT. DE FIXACAO	135	ABRACADEIRAS	00000061	USO E CONSUMO
14000437	ABRAÇADEIRA DE FERRO TIPO U 10MM X 4	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000010	ABRAÇADEIRA DE NYLON 100X2,5MM BRANCA	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000021	ABRAÇADEIRA FLEXIL INOX 216-235MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000340	ABRAÇADEIRA FLEXIL INOX 44-57MM FIF 4457	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000428	ABRAÇADEIRA FLEXIL INOX 57-76MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000341	ABRAÇADEIRA FLEXIL INOX 57-76MM FIF 5776	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000022	ABRAÇADEIRA FLEXIL INOX 70-89MM.	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000342	ABRAÇADEIRA FLEXIL INOX 89-108MM FIF 89108	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000429	ABRAÇADEIRA FLEXIL R/S FIM 102-121MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000434	ABRAÇADEIRA FLEXIL R/S FIM 127-146MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000435	ABRAÇADEIRA FLEXIL R/S FIM 44-57MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000431	ABRAÇADEIRA FLEXIL R/S FIM 51-64MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000436	ABRAÇADEIRA FLEXIL R/S FIM 57-70MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
14000432	ABRAÇADEIRA FLEXIL R/S FIM 83-102MM	07000009	MATERIAL DE CONSUMO	07000000	MATERIAL USO/CONSUMO	00000264	ELEM. E DISPOSIT. DE FIXACAO	00000119	MATERIAL USO/CONSUMO	135	ABRACADEIRAS	135	ABRACADEIRAS
