Item	Descrição do Item	Tipo
000031	FRASCO 1 L C/ALCA NATURAL/ 1 FDS	uso e consumo
0001	MATERIAIS DIVERSOS	uso e consumo
010000	ACETATO DE ZINCO	contabiliza estoque
010003	ACIDO FOSFORICO	contabiliza estoque
010007	ANIDRIDO FTALICO	contabiliza estoque
010008	ANIDRIDO MALEICO	contabiliza estoque
010010	BISOMER (POLYOIL AC25)	contabiliza estoque
010011	BYK R605 BD	contabiliza estoque
010012	BYK W966	contabiliza estoque
010013	CLORETO BENZALCONIO	contabiliza estoque
010014	COBRE 8%	contabiliza estoque
010015	DIETILENOGLICOL (DEG)	contabiliza estoque
010016	DIMETILANILINA (DMA)	contabiliza estoque
010019	HIDROQUINONA	contabiliza estoque
010022	LIOCAT 110	contabiliza estoque
010027	MONOMERO DE ESTIRENO	contabiliza estoque
010031	NEOPENTILGLICOL (NPG)	contabiliza estoque
010032	OCTOATO DE COBALTO 12%	contabiliza estoque
010033	PARABENZOQUINONA	contabiliza estoque
010034	PARAFINA 120/125	contabiliza estoque
010037	PET FLAKE INDUST LAVADO INCOLOR	contabiliza estoque
010039	PROPILENOGLICOL (PGI)	contabiliza estoque
010040	TBC	contabiliza estoque
010041	ANIDRIDO TETRAHIDROFTÁLICO (THPA)	contabiliza estoque
010042	TOLUHIDROQUINONA	contabiliza estoque
010043	TRIETANOLAMINA 85%	contabiliza estoque
030000	TAMBOR TF 200L RECUPERADO	contabiliza estoque
030009	RESIDUO PERDA	contabiliza estoque
030013	LACRES METALICO BR 2"	uso e consumo
030027	MANTA 450 D IN	uso e consumo
030037	CLAYTONE PS-3	contabiliza estoque
030045	PET FLAKE INDUST LAVADO COLORIDO	contabiliza estoque
030050	SUCATA PLASTICA	contabiliza estoque
030053	SODA ESCAMA	uso e consumo
030069	BYK A560 BD20KG	contabiliza estoque
030076	BYK 9076 BD25KG	contabiliza estoque
030081	BOMBA CENTRIFUGA HORIZONTAL GF 50 20AT	uso e consumo
030087	PET BORRA VERDE	contabiliza estoque
030107	TAMBORES COM TAMPA REMOVIVEL	contabiliza estoque
030124	ACETATO DE ETILA	contabiliza estoque
030135	PERDA PRODUTO	contabiliza estoque
030161	PALLET 1150 X 1150 MM	uso e consumo
030168	ALCOOL METILICO 1000ML	uso e consumo
030176	RETALHO COLORIDO	uso e consumo
030186	COADOR NY M-48 DIM 270X800MM	uso e consumo
030187	COADOR NY M-48 DIM 320X750MM	uso e consumo
030191	FILM STRETCH MAN 25 MICRA 500MM - 04KG (JUMBITO FITA FLAX)	uso e consumo
030204	REATOR CILINDRICO HORIZONTAL 9M	uso e consumo
030205	FITA PARA ARQUEAR VERDE - 13MM X 900M	uso e consumo
030206	FITAL METAL P/FITA DE ARQUEAR	uso e consumo
030300	FILM STRETCH 500X25 BOB. MANUAL	uso e consumo
040001	BOMBONA 5 LITROS RET NAT	uso e consumo
100003	CABO TRANSMISSAO IMAGEM CONECTOR HDMI COMP 10M	uso e consumo
100024	EMERGENCIA AMBIENTAL CJ ABSORCAO 40L APRESENTACAO MANTA VERDE 0,4X28X33CM	uso e consumo
100028	SACO LIXO 20L PRETO	uso e consumo
100031	PALHA ACO TRANCADA NUM 2 60G	uso e consumo
100032	ESPONJA LIMPEZA DUPLA FACE MOLE FORMATO RETANG DIM 7,5X11CM ESP 2CM	uso e consumo
100033	PANO PRATO MAT ALGODAO COR BR PCT C/12UN	uso e consumo
100036	JALECO LABORATORIO FECHAMENTO BOTAO TECIDO OXFORD PES COR BR TAM M MANGA LONGA C/GOLA 3 BOLSOS 1 SUP 2 INF COMP 85CM	uso e consumo
100040	CIMENTO PORTLAND COMUM CP II CLASSE RESISTENCIA F32 SACO 50KG	uso e consumo
100042	LAMPADA LED TENSAO 220V CONSUMO 12W TEMPERATURA 4500K CORPO ABS COR BR BASE E27 ANG ILUM 120°	uso e consumo
100043	KIT EMERGENCIA AMBIENTAL CJ ABSORCAO 40L COMPOSICAO 20 ITENS NBR 9735	uso e consumo
100047	PAPEL TOALHA FOLHA DUAS DOBRAS DIM 20X21CM COR BR FD C/100FL	uso e consumo
100049	ADESIVO SELANTE MONO-COMPONENTE TEMPO SECAGEM 20MIN COR VM EMB 50G	uso e consumo
100051	CANETA ESFEROGRAFICA HEXAGONAL 1.0MM C/TAMPA COR AZ CORPO CRISTAL	uso e consumo
