exc	Empresa	Banco	Agência	Conta	Nome	Status	 Encerrado 
129	MG	ABC	1	6609160	CONTA CORRENTE	INATIVA	 Sim 
120	NorteBag	Bradesco	3396	42800	CORRENTE	 INATIVA	 Sim 
115	NorteBag	Santander	1340	13001147	AM - CORRENTE	INATIVA	 Sim 
121	NorteBag	ABC	0019	220048	CORRENTE	INATIVA	 Sim 
122	NorteBag	Itau	3130	79661	CORRENTE	INATIVA	 Sim 
112	Poli Resinas 	Sofisa	0001	062286	CORRENTE	 INATIVA	 Sim 
101	Poli Resinas 	Santander	3417	29001236	VINCULADA	INATIVA	 Sim 
103	Poli Resinas 	Caixa	4276	00000028	CONTA GARANTIDA	INATIVA	 sim 
106	Poli Resinas 	BS2	0001	1104430	CORRENTE	INATIVA	 Sim 
108	Poli Resinas 	C6	0001	20248044	CORRENTE	INATIVA	 Sim 
109	Poli Resinas 	C6	0001	20260186	VINCULADA	INATIVA	 Sim 
58	Polirex Com	BBM	2	601728	CONTA CORRENTE	INATIVA	 Sim 
59	Polirex Com	BBM	2	701728	CONTA VINCULADA	INATIVA	 Sim 
60	Polirex Com	BS2	00001	1104383	CONTA CORRENTE	INATIVA	 Sim 
61	Polirex Com	BS2	00001	1104385	CONTA VINCULADA	INATIVA	 Sim 
72	Polirex Com	Sofisa	19	061127	CONTA VINCULADA	INATIVA	 Sim 
78	Polirex Com	Daycoval	1	730803	CONTA CORRENTE	INATIVA	 Sim 
79	Polirex Com	Daycoval	1	805641	CONTA VINCULADA	INATIVA	 Sim 
80	Polirex Com	Daycoval	1	907955	CONTA GARANTIDA	INATIVA	 Sim 
132	Polirex Com	Alfa	1	2205257	CONTA VINCULADA	INATIVA	 Sim 
96	Polirex Ind 	Daycoval	1	717864	CONTA CORRENTE (MG)	 INATIVA	 Sim 
82	Polirex Ind 	Santander	0986	13001887	CONTA CORRENTE (MG)	INATIVA	 Sim 
83	Polirex Ind 	Caixa	4276	166	CONTA CORRENTE - PJ (MG)	INATIVA	 Sim 
84	Polirex Ind 	Caixa	4276	18	CONTA CORRENTE (MG)	INATIVA	 Sim 
85	Polirex Ind 	Caixa	4276	20	CONTA VINCULADA (MG)	INATIVA	 Sim 
86	Polirex Ind 	BBM	2	601729	CONTA CORRENTE (MG)	INATIVA	 sim  
87	Polirex Ind 	BBM	2	701729	CONTA VINCULADA (MG)	INATIVA	 sim 
88	Polirex Ind 	ABC	1	6609860	CONTA CORRENTE (MG)	INATIVA	 Sim 
89	Polirex Ind 	ABC	1	6609861	CONTA VINCULADA (MG)	INATIVA	 Sim 
92	Polirex Ind 	Industrial	1	10017070	CONTA CORRENTE (MG)	INATIVA	 Sim 
93	Polirex Ind 	Industrial	1	19017070	CONTA VINCULADA (MG)	INATIVA	 Sim 
94	Polirex Ind 	Sofisa	19	231063	CONTA VINCULADA (MG)	INATIVA	 Sim 
95	Polirex Ind 	Sofisa	19	45880	CONTA CORRENTE (MG)	INATIVA	 Sim 
97	Polirex Ind 	Daycoval	1	800855	CONTA VINCULADA (MG)	INATIVA	 Sim 
3	Rubberon	Basa	182	70946	SC - CORRENTE	 INATIVA	 Sim 
5	Rubberon	Banco Alfa	0001	37134	SC - CORRENTE	 INATIVA	 sim 
6	Rubberon	Banco Alfa	0003	37135	SC - VINCULADA	 INATIVA	 sim 
12	Rubberon	XP	0001	960124	AM - CORRENTE	 INATIVA	 Sim 
16	Rubberon	Caixa	4276	369-4	RJ - CORRENTE (BENEFICIOS)	 INATIVA	 Sim 
13	Rubberon	Caixa	4276	10	SC - GARANTIDA	 INATIVA	 Sim 
19	Rubberon	BBM	0002	601737	SC -  CORRENTE	 INATIVA	 Sim 
20	Rubberon	BBM	0002	701737	SC - VINCULADA	 INATIVA	 Sim 
29	Rubberon	ABC	001	2218681	SC - CORRENTE	 INATIVA	 Sim 
30	Rubberon	ABC	001	2218871	SC - VINCULADA	 INATIVA	 Sim 
33	Rubberon	Itau	7648	16299	SC - CORRENTE	 INATIVA	 sim 
31	Rubberon	Industrial	0001	19017699	SC - VINCULADA	 INATIVA	 Sim 
32	Rubberon	Industrial	0001	933532	SC - GARANTIDA	 INATIVA	 Sim 
42	Rubberon	Daycoval	0001	732008	SC - CORRENTE	 INATIVA	 Sim 
43	Rubberon	Daycoval	0001	806387	SC - VINCULADA	 INATIVA	 Sim 
33	Rubberon	Bradesco	3396	12128	SC - GARANTIDA	 INATIVA	 Sim 
34	Rubberon	Itau	1248	03949	RJ - CORRENTE	 INATIVA	 Sim 
36	Rubberon	Itau	7648	28515	SC - GARANTIDA	 INATIVA	 Sim 
38	Rubberon	Sofisa	0001	71883	SC - CORRENTE	 INATIVA	 Sim 
39	Rubberon	Sofisa	0001	71884	SC - VINCULADA	 INATIVA	 Sim 
