descriçãombm	cod_historcxbanco	descricao
RECEB NF	1.01	RECEB. NF
RECEB REF	1.02	RECEB. PARC. NF
BAIXA ADT	1.03	ANTEC. CLIENTE
BAIXA ADT	1.04	ANTEC. PARC. CLIENTE
BAIXA ADT	1.05	BX. ANTEC. FORN.
BAIXA ADT	1.06	BX. ANTEC. PARC. FORN.
RECEB REF	1.07	RECEB. CONF.
PGTO NF	2.01	PGTO. NF
PGTO ANTECIP	2.02	PGTO. PARC. NF
BAIXA ADT	2.03	BX. ANTEC. CLIENTE
BAIXA ADT	2.04	BX. ANTEC. PARC. CLIENTE
BAIXA ADT	2.05	ANTEC. FORN.
BAIXA ADT	2.06	ANTEC. PARC. FORN.
PGTO REF	2.07	PGTO. CONF.
ESTORNO DESPESAS C/ CARTÓRIO	3.07	EST. TARIFA ENV. CARTORIO
ESTORNO DESPESAS C/ CARTÓRIO	3.13	EST. TARIFA DESP. CARTORIO
TRANSFERENCIAS ENTRE CONTAS	5.22	TRANSFERENCIAS ENTRE CONTAS
TARIFA COBRANCA - C/C SISPAG	5.01	TARIFA SISPAG
TARIFA COBRANCA - TED/DOC	5.02	TARIFA TED/DOC
TARIFA COBRANCA - ENTRADA TITULOS 	5.03	TARIFA ENTRADA TITULO
TARIFA COBRANCA - BAIXA	5.04	TARIFA BAIXA TITULO
TARIFA COBRANCA - MANUT CONTA 	5.05	TARIFA MANUT. CONTA
TARIFA FOLHA PAGAMENTO	5.06	TARIFA FOLHA DE PAGAMENTO
TARIFA CARTORIO	5.07	TARIFA ENV. CARTORIO
DESPESA DE CARTORIO	5.08	TARIFA DESP. CARTORIO
TARIFA COBRANÇA - INSUFICIÊNCIA GARANTIA	5.09	TARIFA INSUF. GARANTIA
TARIFA DE SUSTACAO DE PROTESTO	5.10	TARIFA SUSTAÇÃO CARTORIO
TARIFA COBRANÇA - IOF	5.11	TARIFA COBRANÇA - IOF
TARIFA MANUTENCAO TIT VENCIDO	5.13	TARIFA MANUT. TITULO VENC.
COMISSÃO GARANTIA	5.19	COMISSAO GARANTIA
APLICACAO AUTOMATICA	5.15	APLICACAO AUTOMATICA
IMPOSTO DE RENDA S/ APLICACAO	5.16	IMPOSTO DE RENDA S/ APLICADAO
TARIFA COBRANCA - PIX	5.17	TARIFA PIX
TRANSFERENCIA CONTA VINCULADA	5.20	TRANSFERENCIA CONTA VINCULADA
TRANSFERENCIA DA CENTRALIZADORA PARA VINCULADA	5.21	TRANSFERENCIA CENT. P/VINCULADA
DESC S/ NF	1.08	DESC. CONCEDIDO NF
ALUGUEL DEVIDO NO MÊS	1.09	DEVOL. ADIANTAMENTO
BX ADTO FORN	1.10	EMPRESTIMO REF
DEVOL ADIANTAMENTO	1.11	ENCONTRO DE CONTAS CONF
IMPOSTO RET S/ FAT	1.12	IMPOSTO RET S/ FAT
TARIFA DE RENOVAÇÃO DE CADASTRO	5.18	TARIFA RENOV. CADASTRO
RECEB ANTECIP	1.13	RECEB ANTECIP
ALUGUÉL	1.14	RECEB JUROS
RECEB REF	1.15	RECEB JUROS S/ FAT
BX ADTO FORN	1.16	REEMB . ENERGIA FABRICA CF
RECEB REF	1.17	REEMB. CONTA AGUA CF
BX ADTO FORN	1.18	REEMB. IPTU
REEMBOLSO - COMBUSTIVEL/ESTACIONAMENTO	1.19	REEMB. - COMBUST./ESTAC.
DESPESA CORREIOS - SEDEX	2.08	DESP CORREIOS SEDEX
DESPESA GRAFICA	2.09	DESP. GRAFICA
ALUGUEL DEVIDO NO MÊS	2.10	DEVOL. ADIANTAMENTO
BX ADTO FORN	2.11	EMPRESTIMO REF
DEVOL ADIANTAMENTO	2.12	ENCONTRO DE CONTAS CONF
JUROS PASSIVO	2.13	JUROS PASSIVO
RENDIMENTO APLICACAO	3.17	RENDIMENTO APLICAÇÃO
RECEBIMENTO JUROS	3.18	RECEBIMENTO JUROS
TARIFA COBRANÇA - IR APLIC	5.12	TARIFA COBRANÇA - IR APLIC
AJUSTE SWAP 4131	4.15	AJUSTE SWAP 4131
AJUSTE SWAP FINIMP	4.14	AJUSTE SWAP FINIMP
COMISSAO DE FIANCA	4.12	COBRADOR FIANCA
BAIXA ADTO IMPORT	1.20	BX. PARC. ADTO. IMP
BAIXA ADTO IMPORT	1.21	BX.TOTAL ADTO. IMP
BX ADTO FORN	109	DEVOL ANTECIPAÇÃO
TARIFA DE CHEQUE EMITIDO	TARCHEM	TARIFA DE CHEQUE EMITIDO
TARIFA TALÃO DE CHEQUE	TARTACHE	TARIFA TALÃO DE CHEQUE
