Rótulos de Linha	cgc_cpf	fantasia	cod_natoperacao	codigo	descricao	# naturezas	Máx. de dt_emissao
100	00.270.697/0001-10	OXI BAETA	1933-007	100284	CILINDRO OXIGENIO APLICACAO SOLDA MAT AC	1	01/03/2024 00:00
100	02.036.748/0001-70	TECHNICAL	1556-001	2036368	F - COST 2036368 - M48	1	25/03/2024 00:00
100	02.036.748/0001-70	TECHNICAL	1556-001	2036369	F - COST 2036369 - M48	1	25/03/2024 00:00
100	04.493.922/0001-39	BALANCAS GERAIS	1933-007	SERV.MAN	SERVICO MANUTENCAO E REPARACAO DE MAQUIN	1	11/04/2024 00:00
100	04.584.297/0001-30	DECIO CARVALHO ASSESSORIA DOCUMENTA	1933-010	17.009	SERVICOS DE ASSESSORIA OU CONSULTORIA DE	1	09/02/2024 00:00
100	09.339.965/0001-88	ASTECH BOMBAS	1933-001	SERV.MAN	SERVICO MANUTENCAO E REPARACAO DE MAQUIN	1	26/03/2024 00:00
100	14.001.753/0001-26	ECOLIFE AMBIENTAL	1933-011	17.02	SERV DE DESCARTE DE RESIDUO - AGUA E REA	1	05/04/2024 00:00
100	17.118.840/0001-56	PLANETA AMBIENTAL	1933-011	7.09	SERV VARRICAO COLETA E RECICLAGEM	1	26/04/2024 00:00
100	21.131.513/0001-01	ALL LIVES GESTAO OCUPACIONAL LTDA	1933-011	4.02	SERVICO ANÁLISES CLÍNICAS, PATOLOGIA, EL	1	01/04/2024 00:00
100	21.131.513/0001-01	ALL LIVES GESTAO OCUPACIONAL LTDA	1933-011	4.03	SERVICO DE HOSPITAIS, CLÍNICAS, LABORATÓ	1	22/02/2024 00:00
100	21.565.180/0001-29	WORLD WIFI TELECOMUNICACOES LTDA	1303-001	INT.001	SERVIÇO DE INTERNET	1	06/05/2024 00:00
100	21.565.180/0001-29	WORLD WIFI TELECOMUNICACOES LTDA	1933-007	INT.001	SERVIÇO DE INTERNET	1	05/03/2024 00:00
100	29.309.127/0001-79	AMIL ASSISTENCIA MEDICA	1933-007	4.2	PLANO DE SAUDE - EMPRESARIAL	1	12/04/2024 00:00
100	29.884.191/0001-83	HOSTFIBER COMUNICACAO MULTIMIDIA	1302-001	INT.001	SERVIÇO DE INTERNET	1	24/04/2024 00:00
100	35.743.512/0001-22	FLAVIO SNEGUR ME	1933-007	DIG.01	SERVIÇO DE DIGITALIZACAO	1	02/05/2024 00:00
100	41.191.928/0001-88	TEGRAL	1933-009	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	17/04/2024 00:00
100	44.070.642/0001-32	TREE TECHNOLOGY SERVICOS E DESENVOL	1933-007	SERV.MAN	SERVICO MANUTENCAO E REPARACAO DE MAQUIN	1	15/02/2024 00:00
100	44.649.812/0001-38	NOTRE DAME INTERMEDICA	1933-007	4.2	PLANO DE SAUDE - EMPRESARIAL	1	24/04/2024 00:00
100	47.510.884/0001-98	MBM SERVICES LTDA	1933-007	01.01	SERVICOS MBM	1	04/04/2024 00:00
100	47.510.884/0001-98	MBM SERVICES LTDA	1933-007	1.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
100	48.051.361/0001-93	KOLETUS TRANSP. COLER. RESIDUOS LTD	1933-005	7.09	SERV VARRICAO COLETA E RECICLAGEM	1	05/03/2024 00:00
100	51.931.954/0001-59	EP ENGENHARIA DO PROCESSO LTDA	1933-010	17.09	SERVICO DE PERÍCIAS, LAUDOS, EXAMES TÉCN	1	24/04/2024 00:00
100	61.695.227/0001-93	ELETROPAULO METROP. ELETRIC. DE SAO	1252-001	ENEL.01	SERVIÇO DE ENERGIA ELETRICA	1	04/04/2024 00:00
100	69.039.154/0001-93	AMA SERVICOS	1933-001	408	7.10 - LIMPEZA, MANUTENÇÃO E CONSERVAÇÃO	1	05/04/2024 00:00
100	74.480.641/0001-27	MARIA APARECIDA DE O USINAGEM ME	1933-007	SERV.MAN	SERVICO MANUTENCAO E REPARACAO DE MAQUIN	1	17/04/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-007	LIC00620517B	SERVICO WINDOWS LICENCA REMOTA	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LCMP000695B	SERVICOS DE LICENCA CLOUD AZURE NCE SVCS	1	19/04/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LCMP000698B	SERVICOS DE LICENCA CLOUD AZURE RESERVED	1	19/04/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00604211B	SERVICOS DE LICENCA EXCHANGE ONLINE PLAN	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC0060421LB	SERVICOS DE LICENCA EXCHANGE ONLINE (PLA	1	07/02/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00604227B	SERVICOS DE LICENCA MICROSOFT 365 BUSINE	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00604299B	SERVICOS DE LICENCA POWER BI PRO	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00605879B	SERVICOS DE LICENCA EXCHANGE ONLINE PLAN	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00605965B	SERVICOS DE LICENCA MICROSOFT 365 BUSINE	1	25/03/2024 00:00
200	01.771.935/0002-15	INGRAM	2933-009	LIC00655373B	SERVICOS DE LICENCA MICROSOFT OFFICE 365	1	25/03/2024 00:00
200	04.584.297/0001-30	DECIO CARVALHO	2933-003	SERV.REN	RENOVACAO DE CERTIFICADO DE LICENCA DE F	1	12/03/2024 00:00
200	10.718.028/0001-12	KERNEL SOLUTIONS	2933-007	1.07	SERVICO DE SUPORTE TÉCNICO EM INFORMÁTIC	1	02/01/2024 00:00
200	10.718.028/0001-12	KERNEL SOLUTIONS	2933-009	1.07	SERVICO DE SUPORTE TÉCNICO EM INFORMÁTIC	1	01/05/2024 00:00
200	11.414.555/0001-04	AMBIPAR RESPONSE	2933-003	6512000	SERVICO SOCIEDADE SEGURADORA DE SEGUROS	1	22/04/2024 00:00
200	13.475.043/0001-75	LOGCOMEX S/A	2933-007	SIS.04	MENSALIDADE SISTEMA	1	01/04/2024 00:00
200	41.893.894/0001-73	COBSOLUTE	2933-007	17.20	SERVICO DE CONSULTORIA E ASSESSORIA ECON	1	29/04/2024 00:00
200	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	01.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
200	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	SIS.03	SERVIÇO MBM	1	04/04/2024 00:00
201	02.704.396/0001-83	NUBE NUCLEO BRASILEIRO DE ESTAGIOS	1933-007	RH.01	SERVIÇO DE RECRUTAMENTO E SELEÇÃO	1	20/02/2024 00:00
201	03.753.088/0001-00	CATHO ONLINE LTDA	1933-007	RH.01	SERVIÇO DE RECRUTAMENTO E SELEÇÃO	1	22/03/2024 00:00
201	07.475.559/0001-17	JC & FILHOS COMERCIO DE ALIMENTOS	1933-007	100397561	KIT FESTA	1	06/03/2024 00:00
201	13.706.182/0001-62	G LAB TELECOM	1933-007	SER.NET	SERVIÇO DE INTERNET	1	01/04/2024 00:00
