Origem_do_Armazem	CNPJ_Transp	Razao_Social	UF	Cidade_Entrega	Faixa_inicial	Faixa_Final	Preco	Preco_KG	Veículo
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	COCAL DO SUL	13750,001	30250	5049,07	0,166911	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CRICIUMA	13750,001	30250	5049,07	0,166911	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	CUNHA PORA	13750,001	30250	6354,74	0,210074	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	FARROUPILHA	13750,001	30250	6618,48	0,218793	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	FORQUILHINHA	13750,001	30250	5209,27	0,172207	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	GASPAR	13750,001	30250	3962,28	0,130984	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	GUARAMIRIM	13750,001	30250	4022,80	0,132985	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	INDAIAL	13750,001	30250	4229,28	0,139811	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	ITAJAI	13750,001	30250	3962,28	0,130984	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	JARAGUA DO SUL	13750,001	30250	4051,28	0,133927	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	JOINVILLE	13750,001	30250	3786,80	0,125183	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	MASSARANDUBA	13750,001	30250	3962,28	0,130984	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	ORLEANS	13750,001	30250	5049,07	0,166911	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	PALHOCA	13750,001	30250	5039,75	0,166603	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	PINHALZINHO	13750,001	30250	7016,06	0,231936	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	POMERODE	13750,001	30250	4229,28	0,139811	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	RIO DAS ANTAS	13750,001	30250	5578,06	0,184399	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	SAPARINGA	13750,001	30250	5719,58	0,189077	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	SAO BENTO DO SUL	13750,001	30250	3773,60	0,124747	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	SAO LUDGERO	13750,001	30250	5049,07	0,166911	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	URUSSANGA	13750,001	30250	5209,27	0,172207	CARRETA
CD Mauá	15.308.905/0001-09	RTM TRANSPORTES LTDA	SC	XANXERE	13750,001	30250	6589,64	0,217839	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	GO	GOIANIA	13750,001	30250	11100,00	0,366942	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	MG	BETIM	13750,001	30250	8000,00	0,264463	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	MG	CONTAGEM	13750,001	30250	8000,00	0,264463	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	MG	MONTES CLAROS	13750,001	30250	13000,00	0,429752	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	MG	UBERLANDIA	13750,001	30250	9500,00	0,31405	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	MG	VARZEA DA PALMA	13750,001	30250	13000,00	0,429752	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	RJ	SAQUAREMA	13750,001	30250	11000,00	0,363636	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	RJ	SAO GONCALO	13750,001	30250	9500,00	0,31405	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	RJ	RIO DE JANEIRO	13750,001	30250	9000,00	0,297521	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	RJ	COMENDADOR LEVY GASPARIAN	13750,001	30250	9000,00	0,297521	CARRETA
CD Mauá	07.881.225/0001-43	ACP TRANSPORTES LTDA	RJ	DUQUE DE CAXIAS	13750,001	30250	9000,00	0,297521	CARRETA
