id_grupo_estoque	cod_grupoestoque	descricao	item_venda	item_producao	item_compraprodutivo	item_compranaoprodutivo	codtp_tipoproduto	codigo_dominio	descricao_dominio
1	1	ALUGUEL DE IMOVEIS - ADM	N	N	N	S	9		
2	2	ALUGUEL DE IMOVEIS - FAB	N	N	N	S	9		
3	3	ATIVO	S	S	S	S	8	10	ATIVO IMOBILIZADO
4	4	ATIVO FIXO	S	S	S	S	11		
5	5	ATIVO IMOB. - EQUIP. INFORMATI	S	S	S	S	8		
6	6	ATIVO IMOB. - FERRAMENTAS	S	S	S	S	8		
7	7	ATIVO IMOB. - INSTALACOES	S	S	S	S	8		
8	8	ATIVO IMOB. - MAQ. E EQUIP.	S	S	S	S	8		
9	9	ATIVO IMOB. - MOVEIS E UTENS.	S	S	S	S	8		
10	10	ATIVO IMOB. - VEICULOS	S	S	S	S	8		
11	11	ATIVO IMOBILIZADO	S	S	S	S	8	10	ATIVO IMOBILIZADO
12	12	ATIVO MOBILIZADO	S	N	N	S	8		
13	13	BRINDES	N	N	N	S	10		
14	14	CESTA BASICA	N	N	N	S	10		
15	15	COMBUSTIVEL E LUBRIFICANTE	N	N	N	S	7		
16	16	COMPONENTES MAQUINAS E EQUIP	S	S	S	S			
17	17	CONDOMINIO - ADM	N	N	N	S	9		
18	18	CONDOMINIO - FAB	N	N	N	S	9		
19	19	CONFRATERNIZACAO/LAZER	N	N	N	S	7		
20	20	COPA E COZINHA	N	N	N	S	7		
21	21	DESENVOLVIMENTO	S	S	S	S	3	11	SERVIÇOS
22	22	EMBALAGEM	S	S	S	S	2	4	EMBALAGENS
23	23	EMBALAGEM IMPORTADA	N	S	N	S	2		
24	24	EMBALAGEM LOCAL	N	S	N	S	2		
25	25	EMBALAGEM NACIONAL	N	S	N	S	2		
26	26	FARMACIA E MEDICAMENTOS	N	N	N	S	7		
27	27	FILM STRECH	S	S	S	S	4		
28	28	FRETES E CARRETOS	N	N	N	S	9		
29	29	GAS NATURAL - PRODUÇÃO	N	N	N	S	7		
30	30	INSUMO	S	S	S	S			
31	31	LANCHES E REFEICOES	N	N	N	S	7		
32	32	MANUTENCAO	N	S	S	S	11		
33	33	MATERIAIS MANUTENCAO PREDIAL	N	N	N	S	7		
34	34	MATERIAL DE COPA E COZINHA	N	N	N	S	7		
35	35	MATERIAL DE ESCRITORIO	N	N	N	S	7		
36	36	MATERIAL HIG/LIMPEZA	N	N	N	S	7		
37	37	MATERIAL P/TRAT. DE EFLUENTES	N	N	N	S	7		
38	38	MATERIAL PARA REVENDA	S	S	S	S	0	2	MERCADORIA PARA REVENDA
39	39	MATERIAL PROT E COMBATE INCEND	N	N	N	S	7		
40	40	MATERIAL USO/CONSUMO	S	S	S	S	7		
41	41	MATERIA-PRIMA	S	S	S	N	1		MATERIA PRIMA
42	42	MATERIA-PRIMA IMPORTADA	N	S	S	N	1		
43	43	MATERIA-PRIMA LOCAL	N	S	S	N	1		
44	44	MATERIA-PRIMA NACIONAL	N	S	S	N	1		
45	45	MERCADORIA REVENDA	S	S	S	S			
46	46	MERCADORIA REVENDA IMPORTADO	S	N	N	S	0		
47	47	MERCADORIA REVENDA LOCAL	S	N	N	S	0		
48	48	MERCADORIA REVENDA NACIONAL	S	N	S	N	0		
49	49	OUTROS	S	S	S	S	11		
50	50	OUTROS INSUMOS	S	S	S	S	11	12	OUTROS INSUMOS
51	51	PART/PECAS MANUT. EMPILHADEIRA	N	N	N	S	7		
52	52	PARTES E PEÇAS	S	S	S	S	11		
53	53	PARTES E PEÇAS EQUIP. INFORMAT.	N	N	N	S	7		
54	54	PARTES E PEÇAS MANUT. PRODUCAO	N	N	N	S	7		
55	55	PARTES E PECAS MANUT. VEICULOS	N	N	N	S	7		
56	56	PRODUTO ACABADO	S	S	S	S	4	6	PRODUTO ACABADO
57	57	PRODUTO EM PROCESSO	N	S	N	S	3		
58	58	PRODUTO INTERMEDIARIO	N	S	N	S	6		
59	59	QUIMICOS	S	S	S	S	7		
60	60	REFULGO	S	S	S	S			
61	61	RESINA POLIESTER	S	S	S	S	4	6	PRODUTO ACABADO
62	62	SEGURANCA INDUSTRIAL	S	S	S	S	11		
63	63	SEMI ACABADO	S	S	S	S			
64	64	SERVICO - MANUT. VEICULOS	N	S	S	S	9		
65	65	SERVICOS	S	S	S	S	9	11	SERVIÇOS
66	66	SERVICOS - AEROPORTUARIOS	N	N	N	S	9		
67	67	SERVICOS - AGUA E ESGOSTO	N	N	N	S	9		
68	68	SERVICOS - ALIMENTACAO 	S	S	S	S	9		
69	69	SERVICOS - ASSISTENCIA MEDICA	S	S	S	S	9		
70	70	SERVICOS - COLETA DE RESIDUOS	N	N	N	S	9		
71	71	SERVICOS - COMIS. S/VENDAS JUR	N	N	N	S	9		
72	72	SERVICOS - CONFRATERNIZ./LAZER	N	N	N	S	9		
73	73	SERVICOS - CONSULT/ASSESSORIA	N	N	N	S	9		
74	74	SERVICOS - CONSULTORIA CONTABI	S	S	S	S	9		
75	75	SERVICOS - CONSULTORIA ECONOMI	S	S	S	S	9		
76	76	SERVICOS - CONSULTORIA INFORMA	S	S	S	S	9		
77	77	SERVICOS - CONSULTORIA JURIDIC	S	S	S	S	9		
78	78	SERVICOS - CONSULTORIA LICENCA	S	S	S	S	9		
79	79	SERVICOS - CONSULTORIA RH	S	S	S	S	9		
80	80	SERVICOS - CORREIOS E MALOTES	N	N	N	S	9		
81	81	SERVICOS - CURSOS E TREINAMENT	S	S	S	S	9		
82	82	SERVICOS - DEMURAGE/SUBESTADIA	N	N	N	S	9		
83	83	SERVICOS - ENERGIA ELETRICA	S	S	S	S	9		
84	84	SERVICOS - FEIRAS E EVENTOS	N	N	N	S	9		
85	85	SERVICOS - INDUSTRIALIZACAO	S	S	S	S	9		
86	86	SERVICOS - LICENCA DE USO SOFT	S	S	S	S	9		
87	87	SERVICOS - LIMPEZA	S	S	S	S	9		
88	88	SERVICOS - LOC. MAQ. E EQUIP.	N	N	N	S	9		
