Descricao	Ativo	Pais Origem	Cidade Origem	Pais Destino	Cidade Destino	ID Terminal Alfandg	Nome Terminal Alfandg2	Prazo Dias Para Embarcar Após Po	Prazo Dias De Transito Porto A Porto	Prazo Dias De Transferência Para Porto Seco	Prazo Dias Para Registro De Di	Prazo Dias Para Desembaraço + Averbação	Prazo Dias Para Transporte Interno	Prazo Dias Para Descarregamento	Prazo Dias Devolução De Vazios	Leatime Total
Alemanha - Chibatão (Manaus)	S	Alemanha		Brasil	Manaus	1	Chibatão	20	46	0	2	1	1	1	0	71
Alemanha - Itajaí (Santa Catarina)	S	Alemanha		Brasil	Santa Catarina	9	Itajaí	20	30	0	2	1	7	0	0	60
Alemanha - Itapoa (Santa Catarina)	S	Alemanha		Brasil	Santa Catarina	3	Itapoa	20	30	0	2	1	7	0	0	60
Alemanha - Portonave (Santa Catarina)	S	Alemanha		Brasil	Santa Catarina	4	Portonave	20	30	0	2	1	7	0	0	60
Alemanha - Santos - BTP (São Paulo)	S	Alemanha		Brasil	São Paulo	5	Santos - BTP	20	25	15	1	2	0	0	0	63
Alemanha - Santos - Embraport (São Paulo)	S	Alemanha		Brasil	São Paulo	6	Santos - Embraport	20	25	15	1	2	0	0	0	63
Alemanha - Santos - Local Frio (São Paulo)	S	Alemanha		Brasil	São Paulo	8	Santos - Local Frio	20	25	15	1	2	0	0	0	63
Alemanha - Santos - Santos Brasil (São Paulo)	S	Alemanha		Brasil	São Paulo	2	Santos - Santos Brasil	20	25	15	1	2	0	0	0	63
Alemanha - Superterminais (Manaus)	S	Alemanha		Brasil	Manaus	7	Superterminais	20	46	0	2	1	1	1	0	71
Arábia Saudita - Chibatão (Manaus)	S	Arábia Saudita		Brasil	Manaus	1	Chibatão	20	46	0	2	1	1	1	0	71
Arábia Saudita - Itajaí (Santa Catarina)	S	Arábia Saudita		Brasil	Santa Catarina	9	Itajaí	20	38	0	2	1	7	0	0	68
Arábia Saudita - Itapoa (Santa Catarina)	S	Arábia Saudita		Brasil	Santa Catarina	3	Itapoa	20	38	0	2	1	7	0	0	68
Arábia Saudita - Portonave (Santa Catarina)	S	Arábia Saudita		Brasil	Santa Catarina	4	Portonave	20	38	0	2	1	7	0	0	68
Arábia Saudita - Santos - BTP (São Paulo)	S	Arábia Saudita		Brasil	Santa Catarina	5	Santos - BTP	20	38	15	1	2	0	0	0	76
Arábia Saudita - Santos - Embraport (São Paulo)	S	Arábia Saudita		Brasil	São Paulo	6	Santos - Embraport	20	38	15	1	2	0	0	0	76
Arábia Saudita - Santos - Local Frio (São Paulo)	S	Arábia Saudita		Brasil	São Paulo	8	Santos - Local Frio	20	38	15	1	2	0	0	0	76
Arábia Saudita - Santos - Santos Brasil (São Paulo)	S	Arábia Saudita		Brasil	São Paulo	2	Santos - Santos Brasil	20	38	15	1	2	0	0	0	76
Arábia Saudita - Superterminais (Manaus)	S	Arábia Saudita		Brasil	Manaus	7	Superterminais	20	46	0	2	1	1	1	0	71
Argentina - Chibatão (Manaus)	S	Argentina		Brasil	Manaus	1	Chibatão	20	25	0	2	1	1	1	0	50
Argentina - Itajaí (Santa Catarina)	S	Argentina		Brasil	Santa Catarina	9	Itajaí	20	5	0	2	1	7	0	0	35
Argentina - Itapoa (Santa Catarina)	S	Argentina		Brasil	Santa Catarina	3	Itapoa	20	5	0	2	1	7	0	0	35
Argentina - Portonave (Santa Catarina)	S	Argentina		Brasil	Santa Catarina	4	Portonave	20	5	0	2	1	7	0	0	35
Argentina - Santos - BTP (São Paulo)	S	Argentina		Brasil	São Paulo	5	Santos - BTP	20	5	15	1	2	0	0	0	43
Argentina - Santos - Embraport (São Paulo)	S	Argentina		Brasil	São Paulo	6	Santos - Embraport	20	5	15	1	2	0	0	0	43
Argentina - Santos - Local Frio (São Paulo)	S	Argentina		Brasil	São Paulo	8	Santos - Local Frio	20	5	15	1	2	0	0	0	43
Argentina - Santos - Santos Brasil (São Paulo)	S	Argentina		Brasil	São Paulo	2	Santos - Santos Brasil	20	5	15	1	2	0	0	0	43
Argentina - Superterminais (Manaus)	S	Argentina		Brasil	Manaus	7	Superterminais	20	25	0	2	1	1	1	0	50
Brasil - Chibatão (Manaus)	S	Brasil		Brasil	Manaus	1	Chibatão	20	18	0	2	1	1	1	0	43
Brasil - Itajaí (Santa Catarina)	S	Brasil		Brasil	Santa Catarina	9	Itajaí	20	1	0	2	1	7	0	0	31
Brasil - Itapoa (Santa Catarina)	S	Brasil		Brasil	Santa Catarina	3	Itapoa	20	1	0	2	1	7	0	0	31
Brasil - Portonave (Santa Catarina)	S	Brasil		Brasil	Santa Catarina	4	Portonave	20	1	0	2	1	7	0	0	31
Brasil - Santos - BTP (São Paulo)	S	Brasil		Brasil	São Paulo	5	Santos - BTP	20	0	15	1	2	0	0	0	38
Brasil - Santos - Embraport (São Paulo)	S	Brasil		Brasil	São Paulo	6	Santos - Embraport	20	0	15	1	2	0	0	0	38
Brasil - Santos - Local Frio (São Paulo)	S	Brasil		Brasil	São Paulo	8	Santos - Local Frio	20	0	15	1	2	0	0	0	38
Brasil - Santos - Santos Brasil (São Paulo)	S	Brasil		Brasil	São Paulo	2	Santos - Santos Brasil	20	0	15	1	2	0	0	0	38
Brasil - Superterminais (Manaus)	S	Brasil		Brasil	Manaus	7	Superterminais	20	18	0	2	1	1	1	0	43
China - Chibatão (Manaus)	S	China		Brasil	Manaus	1	Chibatão	20	50	0	2	1	1	1	0	75
China - Itajaí (Santa Catarina)	S	China		Brasil	Santa Catarina	9	Itajaí	20	41	0	2	1	7	0	0	71
China - Itapoa (Santa Catarina)	S	China		Brasil	Santa Catarina	3	Itapoa	20	41	0	2	1	7	0	0	71
China - Portonave (Santa Catarina)	S	China		Brasil	Santa Catarina	4	Portonave	20	41	0	2	1	7	0	0	71
China - Santos - BTP (São Paulo)	S	China		Brasil	São Paulo	5	Santos - BTP	20	41	15	1	2	0	0	0	79
China - Santos - Embraport (São Paulo)	S	China		Brasil	São Paulo	6	Santos - Embraport	20	41	15	1	2	0	0	0	79
China - Santos - Local Frio (São Paulo)	S	China		Brasil	São Paulo	8	Santos - Local Frio	20	41	15	1	2	0	0	0	79
China - Santos - Santos Brasil (São Paulo)	S	China		Brasil	São Paulo	2	Santos - Santos Brasil	20	41	15	1	2	0	0	0	79
China - Superterminais (Manaus)	S	China		Brasil	Manaus	7	Superterminais	20	50	0	2	1	1	1	0	75
Colômbia - Chibatão (Manaus)	S	Colômbia		Brasil	Manaus	1	Chibatão	20	28	0	2	1	1	1	0	53
Colômbia - Itajaí (Santa Catarina)	S	Colômbia		Brasil	Santa Catarina	9	Itajaí	20	12	0	2	1	7	0	0	42
Colômbia - Itapoa (Santa Catarina)	S	Colômbia		Brasil	Santa Catarina	3	Itapoa	20	12	0	2	1	7	0	0	42
Colômbia - Portonave (Santa Catarina)	S	Colômbia		Brasil	Santa Catarina	4	Portonave	20	12	0	2	1	7	0	0	42
Colômbia - Santos - BTP (São Paulo)	S	Colômbia		Brasil	São Paulo	5	Santos - BTP	20	12	15	1	2	0	0	0	50
Colômbia - Santos - Embraport (São Paulo)	S	Colômbia		Brasil	São Paulo	6	Santos - Embraport	20	12	15	1	2	0	0	0	50
Colômbia - Santos - Local Frio (São Paulo)	S	Colômbia		Brasil	São Paulo	8	Santos - Local Frio	20	12	15	1	2	0	0	0	50
Colômbia - Santos - Santos Brasil (São Paulo)	S	Colômbia		Brasil	São Paulo	2	Santos - Santos Brasil	20	12	15	1	2	0	0	0	50
Colômbia - Superterminais (Manaus)	S	Colômbia		Brasil	Manaus	7	Superterminais	20	28	0	2	1	1	1	0	53
Coréia Do Sul - Chibatão (Manaus)	S	Coréia Do Sul		Brasil	Manaus	1	Chibatão	20	36	0	2	1	1	1	0	61
Coréia Do Sul - Itajaí (Santa Catarina)	S	Coréia Do Sul		Brasil	Santa Catarina	9	Itajaí	20	45	0	2	1	7	0	0	75
Coréia Do Sul - Itapoa (Santa Catarina)	S	Coréia Do Sul		Brasil	Santa Catarina	3	Itapoa	20	45	0	2	1	7	0	0	75
Coréia Do Sul - Portonave (Santa Catarina)	S	Coréia Do Sul		Brasil	Santa Catarina	4	Portonave	20	45	0	2	1	7	0	0	75
Coréia Do Sul - Santos - BTP (São Paulo)	S	Coréia Do Sul		Brasil	São Paulo	5	Santos - BTP	20	45	15	1	2	0	0	0	83
Coréia Do Sul - Santos - Embraport (São Paulo)	S	Coréia Do Sul		Brasil	São Paulo	6	Santos - Embraport	20	45	15	1	2	0	0	0	83
Coréia Do Sul - Santos - Local Frio (São Paulo)	S	Coréia Do Sul		Brasil	São Paulo	8	Santos - Local Frio	20	45	15	1	2	0	0	0	83
Coréia Do Sul - Santos - Santos Brasil (São Paulo)	S	Coréia Do Sul		Brasil	São Paulo	2	Santos - Santos Brasil	20	45	15	1	2	0	0	0	83
Coréia Do Sul - Superterminais (Manaus)	S	Coréia Do Sul		Brasil	Manaus	7	Superterminais	20	36	0	2	1	1	1	0	61
E.U.A - Chibatão (Manaus)	S	E.U.A		Brasil	Manaus	1	Chibatão	20	30	0	2	1	1	1	0	55
E.U.A - Itajaí (Santa Catarina)	S	E.U.A		Brasil	Santa Catarina	9	Itajaí	20	24	0	2	1	7	0	0	54
E.U.A - Itapoa (Santa Catarina)	S	E.U.A		Brasil	Santa Catarina	3	Itapoa	20	24	0	2	1	7	0	0	54
E.U.A - Portonave (Santa Catarina)	S	E.U.A		Brasil	Santa Catarina	4	Portonave	20	24	0	2	1	7	0	0	54
E.U.A - Santos - BTP (São Paulo)	S	E.U.A		Brasil	São Paulo	5	Santos - BTP	20	24	15	1	2	0	0	0	62
E.U.A - Santos - Embraport (São Paulo)	S	E.U.A		Brasil	São Paulo	6	Santos - Embraport	20	24	15	1	2	0	0	0	62
E.U.A - Santos - Local Frio (São Paulo)	S	E.U.A		Brasil	São Paulo	8	Santos - Local Frio	20	24	15	1	2	0	0	0	62
E.U.A - Santos - Santos Brasil (São Paulo)	S	E.U.A		Brasil	São Paulo	2	Santos - Santos Brasil	20	24	15	1	2	0	0	0	62
E.U.A - Superterminais (Manaus)	S	E.U.A		Brasil	Manaus	7	Superterminais	20	30	0	2	1	1	1	0	55
Espanha - Chibatão (Manaus)	S	Espanha		Brasil	Manaus	1	Chibatão	20	28	0	2	1	1	1	0	53
Espanha - Itajaí (Santa Catarina)	S	Espanha		Brasil	Santa Catarina	9	Itajaí	20	24	0	2	1	7	0	0	54
Espanha - Itapoa (Santa Catarina)	S	Espanha		Brasil	Santa Catarina	3	Itapoa	20	24	0	2	1	7	0	0	54
Espanha - Portonave (Santa Catarina)	S	Espanha		Brasil	Santa Catarina	4	Portonave	20	24	0	2	1	7	0	0	54
Espanha - Santos - BTP (São Paulo)	S	Espanha		Brasil	São Paulo	5	Santos - BTP	20	24	15	1	2	0	0	0	62
Espanha - Santos - Embraport (São Paulo)	S	Espanha		Brasil	São Paulo	6	Santos - Embraport	20	24	15	1	2	0	0	0	62
