cod_natoperacao	classif_cfop	descricao_tiponatureza	Venda	Compra	Devolucao	Remessa	Retorno
6206-001	ANULAÇÃO	SIMPLES REMESSA	N	N	N	S	N
1101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1101-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1101-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1116-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1122-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1252-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1407-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1407-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1551-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
1556-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-004	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2407-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
2556-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2653-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1302-001	COMUNICAÇÃO	SERVIÇOS	N	S	N	N	N
1302-002	COMUNICAÇÃO	SERVIÇOS	N	S	N	N	N
