id_serie_conta	id_empresa	cod_serie	nro_nfiscal	nro_fatura	serie1	nro_nfe	nfe	nfe_imprimelote	path_exportacaonfe	enviar_email_cc_nfe	email_cc_nfe	nfe_imprimefabricacao	tipo_anexosemailnfce	nfce_tipolayout	nfe_dtentcontingencia	nfe_motivocontingencia	incl_data	incl_user	incl_device	modi_data	modi_user	modi_device	excl_data	excl_user	excl_device
78	13	ANTECIP.  	0	0	01   	0	N	N				N					14/02/2024	admin							
79	13	C. DÍVIDA 	0	0	01   	0	N	N				N					14/02/2024	admin							
80	13	CONTRATOS 	0	0	01   	0	N	N				N					14/02/2024	admin							
81	13	CRED. C/C 	0	0	01   	0	N	N				N					14/02/2024	admin							
82	13	DEV       	0	0		0							1				14/02/2024	admin							
83	13	NF        	0	0	1    	0	N	N				N	1				14/02/2024	admin							
84	13	NFCEE     	0	0	A    	0	N	N				N	1				14/02/2024	admin							
85	13	NFE       	39927	39780	1    	4045	S	N	\\10.200.0.250\MBM\XML_SAIDA\500_MGPOLI_COM	S	nfe@mgpolimero.com.br	r	N				14/02/2024	admin							
86	13	NFST      	0	0		0	N	N				N	1				14/02/2024	admin							
100	14	DEV       															14/02/2024	admin							
101	14	NFE       	181	81	1    	193	S	N	\\10.200.0.250\MBM\XML_SAIDA\503_MGPOLI_IND	S	nfe@mgpolimero.com.br	N					14/02/2024	admin							
94	3	ANTECIP.  	0	0	01   	0	N	N				N					14/02/2024	admin							
95	3	DEV       	0	0		0	N	N				N					14/02/2024	admin							
96	3	NF        	0	0	1    	0	N	N				N					14/02/2024	admin							
97	3	NFCEE     	0	0	A    	0	N	N				N					14/02/2024	admin							
98	3	NFE       	0	0	1    	0	S	N	\\10.200.0.250\MBM\XML_SAIDA\502_MGPOLI_IND	S	nfe@mgpolimero.com.br	N					14/02/2024	admin							
99	3	NFST      	0	0		0	N	N				N					14/02/2024	admin							
87	9	ANTECIP.  	0	0	01   	0	N	N				N					14/02/2024	admin							
88	9	C. DÍVIDA 	0	0	01   	0	N	N				N					14/02/2024	admin							
89	9	DEV       	0	0		0							1				14/02/2024	admin							
90	9	NF        	0	0	1    	0	N	N				N	1				14/02/2024	admin							
91	9	NFCEE     	0	0	A    	0	N	N				N	1				14/02/2024	admin							
92	9	NFE       	5964	5954	1    	6838	S	N	\\10.200.0.250\MBM\XML_SAIDA\501_MGPOLI_IND	S	nfe@mgpolimero.com.br	r	N				14/02/2024	admin							
93	9	NFST      	0	0		0	N	N				N	1				14/02/2024	admin							
102	12	ANTECIP.  	0	0	01   	0	N	N				N					14/02/2024	admin							
103	12	C. DIVIDA 	0	0	01   	0	N	N				N					14/02/2024	admin							
104	12	CONTRATOS 	0	0	01   	0	N	N				N					14/02/2024	admin							
105	12	CRED.C/C  	0	0	01   	0	N	N				N					14/02/2024	admin							
106	12	DEV       	0	0		0							1				14/02/2024	admin							
