grupo_thesys	Descricao_MBM	ativo	diario_auxiliar	lancto_contabil	antecipacao	origem	cod_tipodocto
OUTROS	AJUDA DE CUSTO	S	S	S	N		S19
EMPRESTIMOS	EMPRESTIMO CITIBANK	S	S	S	N		EM9
RH	ESPECIAL	S	N	N	N		ESP
CONTRATOS	ALUGUEL	S	S	S	N		D08
CONTRATOS	ALUGUEL	S	S	S	N		D14
ANTECIPAÇÕES	ADTO A SÓCIOS	S	S	S	N		ANS
ATIVOS	FINANCIAMENTO DE IMÓVEIS	S	S	S	N		F01
ATIVOS	FINANCIAMENTO DE VEICULOS	S	S	S	N		F02
IMPOSTOS E TAXAS	ICMS ANTECIPADO	S	S	S	N		I17
IMPOSTOS E TAXAS	PARCELAMENTO IRPJ	S	S	S	N		I18
IMPOSTOS E TAXAS	PARCELAMENTO CSLL	S	S	S	N		I19
EMPRESTIMOS	JUROS EMP. BANC. (PRÉ-FIXADO)	S	S	S	N		JEP
JUROS E MULTAS	JUROS S/ FINANC. DE VEICULOS	S	S	S	N		JFV
VENDAS	DESPESA C/ EXPORTAÇÃO	S	S	S	N		D32
CONTRATOS	ALUGUEL	S	S	S	N		D26
CONTAS A RECEBER	BOLETO	S	S	S	N		BOL
CONTRATOS	ALUGUEL	S	S	S	N		D14
CONTRATOS	ALUGUEL	S	S	S	N		D14
MEIOS DE PAGAMENTO	CHEQUES	S	S	S	N		CHQ
RH	DESPESA VT (FAB)	S	S	S	N		D18
RH	DESPESA VT (ADM)	S	S	S	N		D19
CONTRATOS	ALUGUEL ADM	S	S	S	N		D16
CONTRATOS	ALUGUEL APARTAMENTO	S	S	S	N		D17
CONTRATOS	ALUGUEL SL POUSO A TECNOESTER	S	S	S	N		D20
OPERAÇÕES BANCÁRIAS	SEGURO PRESTAMISTA	S	S	S	N		D24
EMPRESTIMOS	AMORT EMPRESTIMO BB	S	S	S	N		EMP
CONTRATOS	DESPESA C/ SOFTWARE	S	S	S	N		D26
NF	NOTA DE DÉBITO	S	S	S	N		ND 
NF	NOTA FISCAL	S	S	S	N		NF 
NF	DEVOLUÇÃO VENDA	S	S	S	N		NFD
NF	NOTA FISCAL DE IMPORTAÇÃO	S	S	S	N		NFI
EMPRESTIMOS	AMORT EMPRESTIMO DAYCOVAL	S	S	S	N		EM1
ANTECIPAÇÕES	ANTECIPACAO -  PETTRA FII	S	S	S	N		AN1
JUROS E MULTAS	REEMBOLSO IPTU	S	S	S	N		R02
ANTECIPAÇÕES	ANTECIPAÇÃO - (NÃO UTILIZAR)	S	S	S	N		ANT
ANTECIPAÇÕES	ANTECIPAÇÃO - (NÃO UTILIZAR)	S	S	S	N		ANT
ANTECIPAÇÕES	ANTECIPAÇÃO - (NÃO UTILIZAR)	S	S	S	N		ANT
RH	FÉRIAS	S	S	S	N		S03
OPERAÇÕES BANCÁRIAS	TÍTULO DE CAPITALIZAÇÃO	S	S	S	N		CAP
LOGÍSTICA	LICENCIAMENTO/DPVAT	S	S	S	N		D27
LOGÍSTICA	IPVA	S	S	S	N		D28
IMPOSTOS E TAXAS	IMPOSTOS E TAXAS DIVERSAS	S	S	S	N		D29
OPERAÇÕES BANCÁRIAS	TITULO DE CAPITALIZAÇÃO - 003	S	S	S	N		CA1
DESPESAS ADMINISTRATIVAS	CUSTAS DE CARTÓRIO	S	S	S	N		D30
RECIBOS	DESPESA LOCAC. VEICULOS	S	S	S	N		D41
IMPOSTOS E TAXAS	TAXA SISCOMEX (IMP)	S	S	S	N		D33
JUROS E MULTAS	JUROS ATIVOS	S	S	S	N		J01
SEGUROS	SEGURO DE VEICULOS	S	S	S	N		D35
IMPOSTOS E TAXAS	TAXA SUFRAMA PLI (IMP)	S	S	S	N		D34
IMPOSTOS E TAXAS	TAXA SUFRAMA PIN	S	S	S	N		D17
COMPRAS IMPORTADOS	DESPESA - DCI MENSAL 	S	S	S	N		D42
EMPRESTIMOS	EMPRESTIMO BRADESCO	S	S	S	N		E10
ANTECIPAÇÕES	ANTECIPAÇÃO - (NÃO UTILIZAR)	S	S	S	N		ANT
RECIBOS	DESP C/ CONDUÇÕES E TRANSPORTE	S	S	S	N		D31
ANTECIPAÇÕES	ANTECIPAÇÃO - (NÃO UTILIZAR)	S	S	S	N		ANT
RH	CURSOS E TREINAMENTOS	S	S	S	N		D37
ANTECIPAÇÕES	ANTECIPAÇÃO - AAKF	S	S	S	N		ANK
ANTECIPAÇÕES	ANTECIPAÇÃO - BRASKEM	S	S	S	N		ANB
ANTECIPAÇÕES	ANTECIPAÇÃO - CLOROETIL	S	S	S	N		ANC
ANTECIPAÇÕES	ANTECIPAÇÃO - F. INTERCOMPANY	S	S	S	N		AN4
ANTECIPAÇÕES	ANTECIPAÇÃO - F. INTERCOMPANY	S	S	S	N		AN4
ANTECIPAÇÕES	ANTECIPAÇÃO - F. INTERCOMPANY	S	S	S	N		AN4
ANTECIPAÇÕES	ANTECIPAÇÃO - F. INTERCOMPANY	S	S	S	N		AN4
ANTECIPAÇÕES	ANTECIPAÇÃO - F. INTERCOMPANY	S	S	S	N		AN4
ANTECIPAÇÕES	ANTECIPAÇÃO - FORNECEDOR	S	S	S	N		AN2
ANTECIPAÇÕES	ANTECIPAÇÃO - FORNECEDOR	S	S	S	N		AN2
ANTECIPAÇÕES	ANTECIPAÇÃO - FORNECEDOR	S	S	S	N		AN2
IMPOSTOS E TAXAS	INSS S/ FOPAG	S	S	S	N		S08
IMPOSTOS E TAXAS	IRRF S/ FOPAG	S	S	S	N		S09
RH	PENSÃO ALIMENTICIA	S	S	S	N		S10
RH	PLR	S	S	S	N		S11
RH	PRO-LABORE	S	S	S	N		S12
SEGUROS	SEGURO DE VIDA CORPORATIVO	S	S	S	N		S13
SEGUROS	SEGURO DE EQUIPAMENTOS	S	S	S	N		S14
COMPRAS IMPORTADOS	DESPESAS COM IMPORTAÇÃO (PO)	S	S	S	N		D14
IMPOSTOS E TAXAS	IMPOSTOS E TAXAS FEDERAIS	S	S	S	N		D06
IMPOSTOS E TAXAS	IMPOSTOS E TAXAS MUNICIPAIS	S	S	S	N		D04
IMPOSTOS E TAXAS	IMPOSTOS E TAXAS ESTADUAIS	S	S	S	N		D05
IMPOSTOS E TAXAS	INSS S/ NF	S	S	S	N		I08
IMPOSTOS E TAXAS	IRPJ	S	S	S	N		I09
IMPOSTOS E TAXAS	CSLL	S	S	S	N		I10
IMPOSTOS E TAXAS	PARCELAMENTO ICMS	S	S	S	N		I11
IMPOSTOS E TAXAS	IRRF S/ ALUGUEL 3208	S	S	S	N		I12
IMPOSTOS E TAXAS	PARCELAMENTO IPI	S	S	S	N		I13
IMPOSTOS E TAXAS	PARCELAMENTO PIS	S	S	S	N		I14
ANTECIPAÇÕES	ANTECIPAÇÃO - FORNECEDOR	S	S	S	N		AN2
ANTECIPAÇÕES	ANTECIPAÇÃO - FORNECEDOR	S	S	S	N		AN2
IMPOSTOS E TAXAS	GFD (FGTS RESCISÓRIO)	S	S	S	N		S17
JUROS E MULTAS	JUROS S/ IMPOSTOS	S	S	S	N		JIP
JUROS E MULTAS	JUROS S/OP DESC DUPLIC	S	S	S	N		JST
ANTECIPAÇÕES	ANTECIPAÇÃO - PJ	S	S	S	N		AN1
EMPRESTIMOS	EMPRESTIMO SANTANDER	S	S	S	N		EM6
CONTRATOS	DESPESA C/ TELEFONIA	S	S	S	N		D02
CONTRATOS	DESPESA C/ ENERGIA	S	S	S	N		D03
ANTECIPAÇÕES	ANTECIPAÇÃO - PJ	S	S	S	N		AN8
OPERAÇÕES BANCÁRIAS	CONSÓRCIO	S	S	S	N		CON
ANTECIPAÇÕES	PGTO ANTECIP	S	S	S	S		PA 
ANTECIPAÇÕES	ANTECIPAÇÃO - PJ	S	S	S	N		AN6
ANTECIPAÇÕES	ANTECIPAÇÃO - PJ	S	S	S	N		AN7
CONTAS A RECEBER	SALARIO LIQUIDO	S	S	S	N		S01
ATIVOS	COMPRA TERRENO 3 RIOS	S	S	S	N		D13
ANTECIPAÇÕES	ANTECIPAÇÃO DE LUCRO	S	S	S	N		ANL
JURÍDICO	DESPESA JURIDICA	S	S	S	N		D15
ANTECIPAÇÕES	ANTECIPAÇÃO DEMURRAGE (REEMB)	S	S	S	N		AN6
SEGUROS	SEGURO DE CARGA	S	S	S	N		S15
CONTRATOS	DEPOSITO CC	S	S	S	N		DCC
RH	RESCISÃO	S	S	S	N		S16
ANTECIPAÇÕES	ANTECIPAÇÃO DEMURRAGE (REEMB)	S	S	S	N		AN6
EMPRESTIMOS	EMPRESTIMO DAYCOVAL	S	S	S	N		EM1
EMPRESTIMOS	EMPRESTIMO CEF	S	S	S	N		EM2
EMPRESTIMOS	EMPRESTIMO BASA	S	S	S	N		EM3
EMPRESTIMOS	EMPRESTIMO SOFISA	S	S	S	N		EM7
ANTECIPAÇÕES	ANTECIPAÇÃO DEMURRAGE (REEMB)	S	S	S	N		AN6
EMPRESTIMOS	EMPRESTIMO FIBRA	S	S	S	N		EM8
EMPRESTIMOS	EMPRESTIMO	S	S	S	N		EMP
CUSTO DE FÁBRICA	FF	S	S	S	N		FF 
IMPOSTOS E TAXAS	ICMS	S	S	S	N		I01
IMPOSTOS E TAXAS	IPI	S	S	S	N		I02
ANTECIPAÇÕES	ANTECIPAÇÃO DESPACHANTE	S	S	S	N		AND
IMPOSTOS E TAXAS	PARCELAMENTO COFINS	S	S	S	N		I15
EMPRESTIMOS	JUROS  S/ EMPRESTIMO BANCARIO	S	S	S	N		JBD
RH	ADTO SALARIO	S	S	S	N		S02
ADTO FÉRIAS	ADTO FÉRIAS	S	S	S	N		S04
EMPRESTIMOS	EMPRESTIMO ABC	S	S	S	N		EM4
RH	13º	S	S	S	N		S05
IMPOSTOS E TAXAS	PIS	S	S	S	N		I03
IMPOSTOS E TAXAS	COFINS	S	S	S	N		I04
RH	ADTO 13º	S	S	S	N		S06
IMPOSTOS E TAXAS	IRRF S/ NF	S	S	S	N		I05
IMPOSTOS E TAXAS	CSRF S/ NF	S	S	S	N		I06
ANTECIPAÇÕES	ANTECIPAÇÃO DESPACHANTE	S	S	S	N		AND
CUSTO DE FÁBRICA	DESPESA C/ LOC. EMPILHADEIRA	S	S	S	N		D07
EMPRESTIMOS	JUROS S/ EMPRESTIMO BANCARIO	S	S	S	N		JEB
ANTECIPAÇÕES	ANTECIPAÇÃO DESPACHANTE	S	S	S	N		AND
EMPRESTIMOS	EMPRESTIMO ALFA	S	S	S	N		EM5
IMPOSTOS E TAXAS	ISS S/ NF	S	S	S	N		I07
CONTRATOS	CONDOMINIO FABRICA	S	S	S	N		D09
OPERAÇÕES BANCÁRIAS	CRT	S	S	S	N		CRT
LOGÍSTICA	CONHECIMENTO DE TRANSPORTE	S	S	S	N		CTE
CONTRATOS	DESPESA C/ AGUA	S	S	S	N		D01
ANTECIPAÇÕES	ANTECIPAÇÃO DGS	S	S	S	N		AN8
ANTECIPAÇÕES	ANTECIPAÇÃO INVESTIMENTO	S	S	S	N		ANV
ANTECIPAÇÕES	ANTECIPAÇÃO LAV./AVAR. (REEMB)	S	S	S	N		AN7
ANTECIPAÇÕES	ANTECIPAÇÃO LAV./AVAR. (REEMB)	S	S	S	N		AN7
ANTECIPAÇÕES	ANTECIPAÇÃO LAV./AVAR. (REEMB)	S	S	S	N		AN7
ANTECIPAÇÕES	ANTECIPAÇÃO NORTEBAG	S	S	S	N		ANN
SERVICOS	SERVIÇOS PJ - ADM	S	S	S	N		S98
SERVICOS	SERVIÇOS PJ - VENDAS	S	S	S	N		S99
IMPOSTOS E TAXAS	ISS S/ SERV PJ ADM	S	S	S	N		I20
IMPOSTOS E TAXAS	ISS S/ SERV PJ PROD	S	S	S	N		I21
IMPOSTOS E TAXAS	ISS S/ SERV PJ VENDAS	S	S	S	N		I22
ANTECIPAÇÕES	ANTECIPAÇÃO RUBBERON	S	S	S	N		ANR
ANTECIPAÇÕES 	ANTECIPAÇÃO SEM MOV.CONTA	S	S	N	N		ANE
JUROS E MULTAS	AUTO DE INFRAÇÃO ESTADUAL	S	S	S	N		D45
IMPOSTOS E TAXAS	VARIAÇÃO CAMBIAL ATIVA	S	S	S	N		VCA
IMPOSTOS E TAXAS	VARIAÇÃO CAMBIAL PASSIVA	S	S	S	N		VCP
JUROS E MULTAS	AUTO DE INFRAÇÃO ESTADUAL	S	S	S	N		D32
JUROS E MULTAS	AUTO DE INFRAÇÃO FEDERAL	S	S	S	N		D44
JUROS E MULTAS	AUTO DE INFRAÇÃO MUNICIPAL	S	S	S	N		D46
JUROS E MULTAS	JUROS PASSIVOS	S	S	S	N		JPA
OUTROS	BRINDES	S	S	S	N		D24
MEIOS DE PAGAMENTO	CARTAO CREDITO	S	S	S	N		CC 
MEIOS DE PAGAMENTO	CARTAO CREDITO	S	S	S	N		CC 
MEIOS DE PAGAMENTO	CARTAO CREDITO	S	S	S	N		CC 
IMPOSTOS E TAXAS	GFD (FGTS MENSAL)	S	S	S	N		S07
MEIOS DE PAGAMENTO	CARTAO CREDITO	S	S	S	N		CC 
MEIOS DE PAGAMENTO	CARTAO CREDITO	S	S	S	N		CC 
LOGÍSTICA	COMBUSTIVEL	S	S	S	N		COM
OPERAÇÕES BANCÁRIAS	CONSÓRCIO	S	S	S	N		CON
ANTECIPAÇÕES	ADTO A SÓCIOS	S	S	S	N		ADS
ADTO FÉRIAS	ADTO FÉRIAS	S	S	S	N		S04
COMPRAS IMPORTADOS	COMPL. CUSTO DE IMPORTAÇÃO	S	S	S	N		D43
CONTAS A RECEBER	BOLETO	S	S	S	N		BOL
MEIOS DE PAGAMENTO	CHEQUES	S	S	S	N		CHQ
COMPRAS IMPORTADOS	DESPESAS COM IMPORTAÇÃO (PO)	S	S	S	N		D19
LOGÍSTICA	CONHECIMENTO DE TRANSPORTE	S	S	S	N		CTE
COMPRAS IMPORTADOS	COMPL. CUSTO DE IMPORTAÇÃO	S	S	S	N		D26
CONTRATOS	DESPESA C/ TELEFONIA	S	S	S	N		D02
CONTRATOS	DESPESA C/ ENERGIA	S	S	S	N		D03
IMPOSTOS E TAXAS	TAXAS MUNICIPAIS	S	S	S	N		D04
IMPOSTOS E TAXAS	TAXAS ESTADUAIS	S	S	S	N		D05
IMPOSTOS E TAXAS	TAXAS FEDERAIS	S	S	S	N		D06
CUSTO DE FÁBRICA	DESPESA C/ LOC. EMPILHADEIRA	S	S	S	N		D07
CONTRATOS	DESPESA C/ INTERNET	S	S	S	N		D10
COMPRAS IMPORTADOS	COMPL. CUSTO DE IMPORTAÇÃO	S	S	S	N		D27
JURÍDICO	DESPESA JURIDICA	S	S	S	N		D12
CONTRATOS	CONDOMINIO	S	S	S	N		D15
CONTRATOS	CONDOMINIO	S	S	S	N		D15
CONTRATOS	CONDOMINIO	S	S	S	N		D15
LOGÍSTICA	MULTA DE TRANSITO	S	S	S	N		D16
CONTRATOS	CONDOMINIO ADM	S	S	S	N		D10
CONTRATOS	CONDOMINIO ADM	S	S	S	N		D10
SEGUROS	SEGURO DE CARGA	S	S	S	N		D21
CONTRATOS	DEPOSITO CC	S	S	S	N		DCC
CONTRATOS	CONTRATO DE CÂMBIO	S	S	S	N		ANC
EMPRESTIMOS	EMPRESTIMO BB	S	S	S	N		EM1
EMPRESTIMOS	EMPRESTIMO BNDES	S	S	S	N		EM2
EMPRESTIMOS	EMPRESTIMO BB 2	S	S	S	N		EM3
EMPRESTIMOS	EMPRESTIMO CEF	S	S	S	N		EM4
EMPRESTIMOS	EMPRESTIMO BB EXTERIOR	S	S	S	N		EM5
RH	ESPECIAL	S	N	N	N		ESP
IMPOSTOS E TAXAS	ICMS	S	S	S	N		I01
IMPOSTOS E TAXAS	IPI	S	S	S	N		I02
IMPOSTOS E TAXAS	PIS	S	S	S	N		I03
IMPOSTOS E TAXAS	COFINS	S	S	S	N		I04
IMPOSTOS E TAXAS	IRRF S/ NF	S	S	S	N		I05
IMPOSTOS E TAXAS	CSRF S/ NF	S	S	S	N		I06
IMPOSTOS E TAXAS	ISS S/ NF	S	S	S	N		I07
IMPOSTOS E TAXAS	INSS S/ NF	S	S	S	N		I08
IMPOSTOS E TAXAS	IRPJ	S	S	S	N		I09
IMPOSTOS E TAXAS	CSLL	S	S	S	N		I10
IMPOSTOS E TAXAS	ICMS PARCELADO	S	S	S	N		I11
IMPOSTOS E TAXAS	IRRF S/ ALUGUEL 3208	S	S	S	N		I12
IMPOSTOS E TAXAS	IRPJ PARCELADO	S	S	S	N		I13
IMPOSTOS E TAXAS	CSLL PARCELADO	S	S	S	N		I14
CONTRATOS	CONTRATO DE CÂMBIO	S	S	S	N		ANC
RH	13º	S	S	S	N		S05
RH	ADTO 13º	S	S	S	N		S06
IMPOSTOS E TAXAS	INSS S/ FOPAG	S	S	S	N		S08
IMPOSTOS E TAXAS	IRRF S/ FOPAG	S	S	S	N		S09
RH	PENSÃO ALIMENTICIA	S	S	S	N		S10
RH	PLR	S	S	S	N		S11
RH	PRO-LABORE	S	S	S	N		S12
SEGUROS	SEGURO DE VIDA CORPORATIVO	S	S	S	N		S13
RH	RESCISÃO	S	S	S	N		S14
CONTRATOS	CONTRATO DE CÂMBIO	S	S	S	N		ANC
IMPOSTOS E TAXAS	CONTRIB SINDICAL PATRONAL	S	S	S	N		S16
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTE INTERCOMPANY	S	S	S	N		AN5
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTE INTERCOMPANY	S	S	S	N		AN5
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTE INTERCOMPANY	S	S	S	N		AN5
OPERAÇÕES BANCÁRIAS	TÍTULO DE CAPITALIZAÇÃO	S	S	S	N		CAP
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTE INTERCOMPANY	S	S	S	N		AN5
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTE INTERCOMPANY	S	S	S	N		AN5
OPERAÇÕES BANCÁRIAS	SEGURO PRESTAMISTA	S	S	S	N		D24
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTES	S	S	S	N		AN3
IMPOSTOS E TAXAS	COFINS PARCELADO	S	S	S	N		I17
IMPOSTOS E TAXAS	IPI PARCELADO	S	S	S	N		I18
EMPRESTIMOS	JUROS S/ EMP. BANC. DAYCOVAL	S	S	S	N		JBD
EMPRESTIMOS	JUROS S/ EMPRESTIMO BANCARIO	S	S	S	N		JEB
EMPRESTIMOS	JUROS EMP. BANC. (PRÉ-FIXADO)	S	S	S	N		JEP
JUROS E MULTAS	JUROS S/ IMPOSTOS	S	S	S	N		JIP
JUROS E MULTAS	JUROS S/ NF	S	S	S	N		JSN
NF	NOTA FISCAL	S	S	S	N		NF 
NF	DEVOLUÇÃO VENDA	S	S	S	N		NFD
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTES	S	S	S	N		AN3
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTES	S	S	S	N		AN3
ANTECIPAÇÕES	PGTO ANTECIP	S	S	S	S		PA 
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTES	S	S	S	N		AN3
OPERAÇÕES BANCÁRIAS	CRÉDITO - CLIENTES	S	S	S	N		AN3
CONTAS A RECEBER	SALARIO LIQUIDO	S	S	S	N		S01
RH	ADTO SALARIO	S	S	S	N		S02
RH	FÉRIAS	S	S	S	N		S03
RECIBOS	DESP C/ CONDUÇÕES E TRANSPORTE	S	S	S	N		D25
DESPESAS ADMINISTRATIVAS	DEP	S	S	S	N		DEP
ANTECIPAÇÕES	DEPÓSTIO CAUÇÃO	S	S	S	N		AN9
DESPESAS ADMINISTRATIVAS	DESP C/ALIMENTACAO	S	S	S	N		D18
DESPESAS ADMINISTRATIVAS	DESP.C/ VIAGENS E HOSPEDAGENS	S	S	S	N		DVI
DESPESAS ADMINISTRATIVAS	DESPESA - DCI MENSAL	S	S	S	N		D42
CONTRATOS	DESPESA C/ AGUA 	S	S	S	N		D01
ANTECIPAÇÕES 	ANTECIPAÇÃO SEM MOV.CONTA	S	S	N	N		ANE
IMPOSTOS E TAXAS	GFD (FGTS RESCISÓRIO)	S	S	S	N		S15
IMPOSTOS E TAXAS	GFD (FGTS MENSAL)	S	S	S	N		S07
EMPRESTIMOS	EMPRESTIMO SANTANDER	S	S	S	N		EM6
CONTRATOS	DESPESA C/ AGUA (SABESP)	S	S	S	N		D01
SERVICOS	SERVIÇOS PJ - ADM	S	S	S	N		S98
SERVICOS	SERVIÇOS PJ - VENDAS	S	S	S	N		S99
CONTRATOS	DESPESA C/ AGUA (SABESP)	S	S	S	N		D01
CONTRATOS	DESPESA C/ AGUA (SABESP)	S	S	S	N		D01
IMPOSTOS E TAXAS	VARIAÇÃO CAMBIAL ATIVA	S	S	S	N		VCA
IMPOSTOS E TAXAS	VARIAÇÃO CAMBIAL PASSIVA	S	S	S	N		VCP
JUROS E MULTAS	JUROS PASSIVOS	S	S	S	N		JPA
CONTRATOS	DESPESA C/ COMBUSTIVEL E LUBR.	S	S	S	N		D19
CONTRATOS	DESPESA C/ SEGURO TRANSPORTE	S	S	S	N		D17
CONTRATOS	DESPESA C/ SEGURO TRANSPORTE	S	S	S	N		D17
CONTRATOS	DESPESA C/ SINDICATO	S	S	S	N		D21
CONTRATOS	DESPESA C/ VIAGEM	S	S	S	N		D20
CONTRATOS	DESPESA C/ VT	S	S	S	N		D37
CONTAS A RECEBER	BOLETO	S	S	S	N		BOL
CONTRATOS	DESPESA C/VR	S	S	S	N		D38
MEIOS DE PAGAMENTO	CHEQUES	S	S	S	N		CHQ
COMPRAS IMPORTADOS	CUSTO DE IMPORTAÇÃO	S	S	S	N		CIM
LOGÍSTICA	CONHECIMENTO DE TRANSPORTE	S	S	S	N		CTE
CONTRATOS	DESPESA COM CONSULTORIA 	S	S	S	N		D27
CONTRATOS	DESPESA C/ TELEFONIA	S	S	S	N		D02
CONTRATOS	DESPESA C/ ENERGIA	S	S	S	N		D03
CONTRATOS	DESPESA COMISSAO	S	S	S	N		D16
CONTRATOS	DESPESA COMISSAO	S	S	S	N		D16
CONTRATOS	DESPESA CONSULTORIA COMERCIAL	S	S	S	N		D25
CUSTO DE FÁBRICA	DESPESA C/ LOC. EMPILHADEIRA	S	S	S	N		D07
SEGUROS	SEGURO DE CARGA	S	S	S	N		D23
CONTRATOS	DEPOSITO CC	S	S	S	N		DCC
SÓCIOS	DESPESAS EXTRAS	S	S	S	N		DEX
CONTRATOS	DESPESA LOCAC. MAQ. E EQUIP.	S	S	S	N		D22
CONTRATOS	DESPESAS C/ ALIMENTAÇÃO	S	S	S	N		D18
EMPRESTIMOS	EMPRESTIMO DAYCOVAL	S	S	S	N		EM1
EMPRESTIMOS	EMPRESTIMO CEF	S	S	S	N		EM2
RH	ESPECIAL	S	N	N	N		ESP
IMPOSTOS E TAXAS	ICMS	S	S	S	N		I01
IMPOSTOS E TAXAS	IPI	S	S	S	N		I02
IMPOSTOS E TAXAS	PIS	S	S	S	N		I03
IMPOSTOS E TAXAS	COFINS	S	S	S	N		I04
IMPOSTOS E TAXAS	IRRF S/ NF	S	S	S	N		I05
IMPOSTOS E TAXAS	CSRF S/ NF	S	S	S	N		I06
IMPOSTOS E TAXAS	ISS S/ NF	S	S	S	N		I07
IMPOSTOS E TAXAS	INSS S/ NF	S	S	S	N		I08
IMPOSTOS E TAXAS	IRPJ	S	S	S	N		I09
IMPOSTOS E TAXAS	CSLL	S	S	S	N		I10
IMPOSTOS E TAXAS	PARCELAMENTO ICMS	S	S	S	N		I11
IMPOSTOS E TAXAS	IRRF S/ ALUGUEL 3208	S	S	S	N		I12
IMPOSTOS E TAXAS	PARCELAMENTO IPI	S	S	S	N		I13
IMPOSTOS E TAXAS	PARCELAMENTO PIS	S	S	S	N		I14
IMPOSTOS E TAXAS	PARCELAMENTO COFINS	S	S	S	N		I15
CONTRATOS	DESPESAS C/ ALIMENTAÇÃO	S	S	S	N		D18
IMPOSTOS E TAXAS	ICMS ANTECIPADO	S	S	S	N		I17
IMPOSTOS E TAXAS	PARCELAMENTO IRPJ	S	S	S	N		I18
IMPOSTOS E TAXAS	PARCELAMENTO CSLL	S	S	S	N		I19
IMPOSTOS E TAXAS	ICMS DIFAL	S	S	S	N		I20
IMPOSTOS E TAXAS	FMPES	S	S	S	N		I21
IMPOSTOS E TAXAS	UEA	S	S	S	N		I22
IMPOSTOS E TAXAS	CSLL S/ NF	S	S	S	N		I23
IMPOSTOS E TAXAS	FTI	S	S	S	N		I24
EMPRESTIMOS	JUROS S/ EMP. BANC. DAYCOVAL	S	S	S	N		JBD
EMPRESTIMOS	JUROS S/ EMPRESTIMO BANCARIO	S	S	S	N		JEB
JUROS E MULTAS	JUROS S/ EMPRESTIMO RUBBERON	S	S	S	N		JER
JUROS E MULTAS	JUROS S/ IMPOSTOS	S	S	S	N		JIP
NF	NOTA FISCAL	S	S	S	N		NF 
NF	DEVOLUÇÃO VENDA	S	S	S	N		NFD
OUTROS	DOAÇÕES	S	S	S	N		D36
OUTROS	DUPLICATA	S	S	S	N		DUP
ANTECIPAÇÕES	PGTO ANTECIP	S	S	S	S		PA 
OUTROS	DUPLICATA	S	S	S	N		DUP
OUTROS	DUPLICATA	S	S	S	N		DUP
CONTAS A RECEBER	SALARIO LIQUIDO	S	S	S	N		S01
RH	ADTO SALARIO	S	S	S	N		S02
RH	FÉRIAS	S	S	S	N		S03
ADTO FÉRIAS	ADTO FÉRIAS	S	S	S	N		S04
RH	13º	S	S	S	N		S05
RH	ADTO 13º	S	S	S	N		S06
IMPOSTOS E TAXAS	INSS S/ FOPAG	S	S	S	N		S08
IMPOSTOS E TAXAS	IRRF S/ FOPAG	S	S	S	N		S09
RH	PENSÃO ALIMENTICIA	S	S	S	N		S10
RH	PLR	S	S	S	N		S11
RH	PRO-LABORE	S	S	S	N		S12
SEGUROS	SEGURO DE VIDA CORPORATIVO	S	S	S	N		S13
RH	RESCISÃO	S	S	S	N		S16
RH	GRATIFICAÇÃO	S	S	S	N		S18
OUTROS	DUPLICATA	S	S	S	N		DUP
OUTROS	DUPLICATA	S	S	S	N		DUP
