CODIUSER	ID_EMPRESA	incl_data	incl_user	incl_device	modi_data	modi_user	modi_device	excl_data	excl_user	excl_device
-1	3	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	4	2024-01-09 15:10:33.213	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
-1	5	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	6	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	7	2024-01-09 15:10:25.363	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
-1	8	2024-01-09 15:10:25.363	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
-1	9	2024-01-09 15:10:25.363	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
-1	10	2024-01-09 16:31:53.973	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
-1	11	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	12	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	13	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	14	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
-1	15	2024-04-05 17:27:33.960	malves	PC/10.1.0.51	NULL	NULL	NULL	NULL	NULL	NULL
1	1	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	3	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	4	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	5	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	6	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	7	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	8	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	9	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	10	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	11	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	12	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	13	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	14	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
1	15	2023-12-08 15:28:35.780	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
2	10	2024-04-28 15:27:41.910	admin	PC/127.0.0.1	NULL	NULL	NULL	NULL	NULL	NULL
3	1	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	3	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	4	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	5	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	6	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	7	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	8	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	9	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	10	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	11	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	12	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	13	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	14	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
3	15	2023-08-09 09:21:40.980	malves	PC/192.168.1.92	NULL	NULL	NULL	NULL	NULL	NULL
4	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
