PIS_CODTRIB	CÓDIGO	DESCRIÇÃO
T	01	OPERAÇÃO TRIBUTÁVEL COM ALÍQ. BÁSICA
2	02	OPERAÇÃO TRIBUTÁVEL COM ALÍQ. DIFERENCIADA
	03	OPERAÇÃO TRIBUTÁVEL COM ALÍQUOTA POR UNIDADE DE MEDIDA DE PRODUTO
	04	OPERAÇÃO TRIBUTÁVEL MONOFÁSICA – REVENDA A ALÍQUOTA ZERO
	05	OPERAÇÃO TRIBUTÁVEL POR SUBSTITUIÇÃO TRIBUTÁRIA
6	06	OPERAÇÃO TRIBUTÁVEL A ALÍQ. ZERO
I	07	OPERAÇÃO ISENTA DA CONTRIBUIÇÃO
8	08	OPERAÇÃO SEM INCIDÊNCIA DA CONTRIBUIÇÃO
9	09	OPERAÇÃO COM SUSPENSÃO DA CONTRIBUIÇÃO
A	49O	OUTRAS OPERAÇÕES DE SAÍDA (OUTROS)
	49T	OUTRAS OPERAÇÕES DE SAÍDA (TRIBUTADO)
B	50	OPERAÇÃO COM DIREITO A CRÉDITO - VINCULADA EXCLUSIVAMENTE A RECEITA TRIBUTADA NO MERCADO INTERNO
	51	OPERAÇÃO COM DIREITO A CRÉDITO – VINCULADA EXCLUSIVAMENTE A RECEITA NÃO-TRIBUTADA NO MERCADO INTERNO
	52	OPERAÇÃO COM DIREITO A CRÉDITO – VINCULADA EXCLUSIVAMENTE A RECEITA DE EXPORTAÇÃO
F	53	OPERAÇÃO COM DIREITO A CRÉDITO - VINCULADA A RECEITAS TRIBUTADAS E NÃO-TRIBUTADAS NO MERCADO INTERNO
	54	OPERAÇÃO COM DIREITO A CRÉDITO – VINCULADA A RECEITAS TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	55	OPERAÇÃO COM DIREITO A CRÉDITO – VINCULADA A RECEITAS NÃO TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	56	OPERAÇÃO COM DIREITO A CRÉDITO – VINCULADA A RECEITAS TRIBUTADAS E NÃO-TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	60	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA EXCLUSIVAMENTE A RECEITA TRIBUTADA NO MERCADO INTERNO
	61	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA EXCLUSIVAMENTE A RECEITA NÃO-TRIBUTADA NO MERCADO INTERNO
	62	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA EXCLUSIVAMENTE A RECEITA DE EXPORTAÇÃO
	63	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA A RECEITAS TRIBUTADAS E NÃO-TRIBUTADAS NO MERCADO INTERNO
	64	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA A RECEITAS TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	65	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA A RECEITAS NÃO-TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	66	CRÉDITO PRESUMIDO – OPERAÇÃO DE AQUISIÇÃO VINCULADA A RECEITAS TRIBUTADAS E NÃO-TRIBUTADAS NO MERCADO INTERNO E DE EXPORTAÇÃO
	67	CRÉDITO PRESUMIDO – OUTRAS OPERAÇÕES
Ñ	70	OPERAÇÃO DE AQUISIÇÃO SEM DIREITO A CRÉDITO
	71	OPERAÇÃO DE AQUISIÇÃO COM ISENÇÃO
V	72	OPERAÇÃO DE AQUISIÇÃO COM SUSPENSÃO
Y	73	OPERAÇÃO DE AQUISIÇÃO A ALÍQUOTA ZERO
	74	OPERAÇÃO DE AQUISIÇÃO SEM INCIDÊNCIA DA CONTRIBUIÇÃO
	75	OPERAÇÃO DE AQUISIÇÃO POR SUBSTITUIÇÃO TRIBUTÁRIA
	98	OUTRAS OPERAÇÕES DE ENTRADA
O	99O	OUTRAS OPERAÇÕES (OUTROS)
Õ	99T	OUTRAS OPERAÇÕES (TRIBUTADO)
